Name,Position,Team,Name From debug_mad
Todd Gurley,RB,LA,Todd Gurley II
Mohamed Sanu,WR,ATL,Mohamed Sanu Sr
Charles Sims,RB,TB,Charles Sims III
Terrelle Pryor,WR,CLE,Terrelle Pryor Sr
Golden Tate,WR,DET,Golden Tate III
Marvin Jones Jr.,WR,DET,Marvin Jones
Eli Rogers,WR,PIT,
Will Fuller,WR,HOU,Will Fuller V
