"QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","Salary","PredictedPoints"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Adam Vinatieri, IND, , 5200","HOU, HOU, , 4400","59500","153.6114977177"
"Kirk Cousins, WAS, , 7400","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Cairo Santos, KC, , 4700","HOU, HOU, , 4400","59900","153.589196744497"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Lamar Miller, HOU, , 7900","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Stephen Gostkowski, NE, , 5000","HOU, HOU, , 4400","59900","153.577021917189"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Justin Tucker, BAL, , 4900","HOU, HOU, , 4400","59200","153.528853647969"
"Russell Wilson, SEA, , 8400","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Eli Rogers, PIT, , 4900","Doug Baldwin, SEA, , 7600","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59700","153.500016775766"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Amari Cooper, OAK, , 7100","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Steven Hauschka, SEA, , 4800","HOU, HOU, , 4400","59900","153.492344906837"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Stephen Gostkowski, NE, , 5000","HOU, HOU, , 4400","59300","153.491738915343"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Lamar Miller, HOU, , 7900","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Steven Hauschka, SEA, , 4800","HOU, HOU, , 4400","59700","153.420642654607"
"Russell Wilson, SEA, , 8400","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Eli Rogers, PIT, , 4900","Doug Baldwin, SEA, , 7600","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Cairo Santos, KC, , 4700","HOU, HOU, , 4400","59800","153.398154702737"
"Drew Brees, NO, , 8500","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 9300","Doug Baldwin, SEA, , 7600","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59700","153.387675089129"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Steven Hauschka, SEA, , 4800","HOU, HOU, , 4400","59100","153.335359652761"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Amari Cooper, OAK, , 7100","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59700","153.31660528675"
"Drew Brees, NO, , 8500","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 9300","Doug Baldwin, SEA, , 7600","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Cairo Santos, KC, , 4700","HOU, HOU, , 4400","59800","153.285813016101"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Dennis Pitta, BAL, , 5400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59900","153.272568465451"
