"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"Datl",5.752,6.04,5.68,6.4,2,"16565-12525","ATL","D","FanDuel","","",6.4,4200,"ATL","SEA",FALSE,"atl",-0.318430009153634,3.9203905873483
"Dbal",7.417,7.765,7.33,8.2,2,"16565-12555","BAL","D","FanDuel","","",8.2,4500,"BAL","NYG",FALSE,"bal",-0.202057012799597,5.91834313606539
"Dbuf",10.38,11.9,10,13.8,2,"16565-12526","BUF","D","FanDuel","","",13.8,4800,"BUF","SF",TRUE,"buf",0.208505291859251,12.544284929499
"Dcar",7.108,7.06,7,7.12,2,"16565-12553","CAR","D","FanDuel","","",7,4700,"CAR","NO",FALSE,"car",0.127473992180191,8.0140851364168
"Dchi",6.505,5.925,5.2,6.65,2,"16565-12527","CHI","D","FanDuel","","",5.2,4300,"CHI","JAX",TRUE,"chi",-0.180072914122345,5.33362569363415
"Dcin",6.873,6.485,6,6.97,2,"16565-12528","CIN","D","FanDuel","","",6,4300,"CIN","NE",FALSE,"cin",-0.136217657337036,5.93677604112255
"Dcle",5.759,5.155,4.4,5.91,2,"16565-12529","CLE","D","FanDuel","","",4.4,4100,"CLE","TEN",FALSE,"cle",-0.105440533698869,5.15176796642821
"Ddal",6.294,5.63,4.8,6.46,2,"16565-12530","DAL","D","FanDuel","","",4.8,4300,"DAL","GB",FALSE,"dal",0.0546025724808468,6.63766859119445
"Ddet",7.061,6.145,5,7.29,2,"16565-12532","DET","D","FanDuel","","",5,4500,"DET","LA",TRUE,"det",-0.141861845249212,6.05931351069531
"Dgb",7.494,6.83,6,7.66,2,"16565-12533","GB","D","FanDuel","","",6,4500,"GB","DAL",TRUE,"gb",-0.0539997632705268,7.08932577405067
"Dhou",7.612,7.34,7,7.68,2,"16565-12556","HOU","D","FanDuel","","",7,4400,"HOU","IND",TRUE,"hou",0.658296314903799,12.6229515490477
"Dind",6.339,4.855,3,6.71,2,"16565-12535","IND","D","FanDuel","","",3,4400,"IND","HOU",FALSE,"ind",-0.306604831246841,4.39543197472627
"Djax",6.406,5.67,4.75,6.59,2,"16565-12554","JAX","D","FanDuel","","",4.75,4200,"JAX","CHI",FALSE,"jax",0.346029239159476,8.6226633060556
"Dkc",7.523,8.735,7.22,10.25,2,"16565-12536","KC","D","FanDuel","","",10.25,4600,"KC","OAK",FALSE,"kc",-0.0765541050120443,6.94708346799439
"Dla",7.848,8.36,7.72,9,2,"16565-12538","LA","D","FanDuel","","",9,4600,"LA","DET",FALSE,"la",-0.230533938989037,6.03876964681404
"Dmia",5.786,5.97,5.74,6.2,2,"16565-12539","MIA","D","FanDuel","","",6.2,4000,"MIA","PIT",TRUE,"mia",-0.145435116855484,4.94451241387417
