"QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","Salary","PredictedPoints"
"Case Keenum, LA, , 6400","C.J. Prosise, SEA, , 4900","Le'Veon Bell, PIT, , 9100","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Dustin Hopkins, WAS, , 4800","NYG, NYG, , 4700","59700","166.322278208222"
"Case Keenum, LA, , 6400","C.J. Prosise, SEA, , 4900","Le'Veon Bell, PIT, , 9100","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Dustin Hopkins, WAS, , 4800","NE, NE, , 4900","59900","166.316684630842"
"Case Keenum, LA, , 6400","C.J. Prosise, SEA, , 4900","Le'Veon Bell, PIT, , 9100","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Eric Ebron, DET, , 5400","Matt Prater, DET, , 4600","NYG, NYG, , 4700","60000","165.72362140357"
"Ben Roethlisberger, PIT, , 8400","C.J. Prosise, SEA, , 4900","LeSean McCoy, BUF, , 7500","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Matt Prater, DET, , 4600","NYG, NYG, , 4700","59900","165.500648873504"
"Case Keenum, LA, , 6400","C.J. Prosise, SEA, , 4900","Le'Veon Bell, PIT, , 9100","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Stephen Gostkowski, NE, , 4900","NYG, NYG, , 4700","59800","165.474131272999"
"Case Keenum, LA, , 6400","C.J. Prosise, SEA, , 4900","Le'Veon Bell, PIT, , 9100","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Stephen Gostkowski, NE, , 4900","NE, NE, , 4900","60000","165.468537695619"
"Case Keenum, LA, , 6400","C.J. Prosise, SEA, , 4900","Le'Veon Bell, PIT, , 9100","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Matt Prater, DET, , 4600","NYG, NYG, , 4700","59500","165.007173464395"
"Ben Roethlisberger, PIT, , 8400","C.J. Prosise, SEA, , 4900","LeSean McCoy, BUF, , 7500","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Mason Crosby, GB, , 4700","NYG, NYG, , 4700","60000","164.987592835234"
"Andy Dalton, CIN, , 7500","C.J. Prosise, SEA, , 4900","David Johnson, ARI, , 8300","A.J. Green, CIN, , 8200","Antonio Brown, PIT, , 8900","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Dustin Hopkins, WAS, , 4800","NYG, NYG, , 4700","60000","164.887775209848"
"Kirk Cousins, WAS, , 7600","C.J. Prosise, SEA, , 4900","David Johnson, ARI, , 8300","Antonio Brown, PIT, , 8900","A.J. Green, CIN, , 8200","Jordy Nelson, GB, , 7800","Kyle Rudolph, MIN, , 4900","Matt Prater, DET, , 4600","NYG, NYG, , 4700","59900","164.860015089821"
