"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"Kmattbryant",7.909857143,9.029285715,7.63,10.42857143,2,"16711-10647","Matt Bryant","K","FanDuel","","",10.42857143,4800,"ATL","GB",TRUE,"mattbryant",0.0264253907342915,8.1188782086562
"Kmattprater",7.2455714286,7.707857143,7.13,8.285714286,2,"16711-6782","Matt Prater","K","FanDuel","","",8.285714286,4500,"DET","HOU",FALSE,"mattprater",0.0326215322465091,7.48193307060246
"Knickfolk",6.64,6.8,6.6,7,2,"16711-6642","Nick Folk","K","FanDuel","","",7,4600,"NYJ","CLE",FALSE,"nickfolk",-0.0162978848685733,6.53178204447267
"Knicknovak",7.359,8.755,7.01,10.5,2,"16711-12090","Nick Novak","K","FanDuel","","",10.5,4500,"HOU","DET",TRUE,"nicknovak",-0.0162978848685733,7.23906386525217
"Krobertoaguayo",6.4926666667,5.9033333335,5.166666667,6.64,2,"16711-24882","Roberto Aguayo","K","FanDuel","","",5.166666667,4500,"TB","OAK",TRUE,"robertoaguayo",-0.0162978848685733,6.3868499328761
"Ksebastianjanikowski",7.578,8.21,7.42,9,2,"16711-7831","Sebastian Janikowski","K","FanDuel","","",9,4800,"OAK","TB",FALSE,"sebastianjanikowski",-0.0162978848685733,7.45449462846595
"Kstephengostkowski",7.6622857143,7.4314285715,7.142857143,7.72,2,"16711-7900","Stephen Gostkowski","K","FanDuel","","",7.142857143,4900,"NE","BUF",FALSE,"stephengostkowski",0.201719234916374,9.20791612629925
"Kwillutz",8,8,8,8,1,"16711-48380","Wil Lutz","K","FanDuel","","",8,4500,"NO","SEA",TRUE,"willutz",-0.0162978848685733,7.86961692105141
"QBaaronrodgers",20.768333374,20.68166687,20.57333374,20.79,2,"16711-6894","Aaron Rodgers","QB","FanDuel","","",20.57333374,8800,"GB","ATL",FALSE,"aaronrodgers",0.0261633830996479,21.3117032364052
"QBalexsmith",17.962666656,16.69333328,15.10666656,18.28,2,"16711-8005","Alex Smith","QB","FanDuel","","",15.10666656,6800,"KC","IND",FALSE,"alexsmith",0.042001659382672,18.7171284624898
"QBandrewluck",20.549000009,21.185000045,20.39,21.98000009,2,"16711-21939","Andrew Luck","QB","FanDuel","","",21.98000009,7900,"IND","KC",TRUE,"andrewluck",-0.172850690414681,16.9970911701131
"QBbrandonweeden",1.140333303,5.701666515,0,11.40333303,2,"16711-21959","Brandon Weeden","QB","FanDuel","","",11.40333303,6000,"HOU","DET",TRUE,"brandonweeden",0.00250826499188572,1.143193561103
"QBbrockosweiler",16.552714281,14.803571405,12.61714281,16.99,2,"16711-21994","Brock Osweiler","QB","FanDuel","","",12.61714281,6600,"HOU","DET",TRUE,"brockosweiler",0.103965018756285,18.2736175316916
"QBcamnewton",20.135799988,21.19899994,19.87,22.52799988,2,"16711-14185","Cam Newton","QB","FanDuel","","",22.52799988,8300,"CAR","ARI",TRUE,"camnewton",-0.0672768962684682,18.7811258609247
