"Key","Name","Position","Source","PredictedPoints","Salary","Team"
"WRricardolouis","Ricardo Louis","WR","FantasyPros",2.6,4500,"CLE"
"WRrishardmatthews","Rishard Matthews","WR","FantasyPros",5.31,5000,"TEN"
"WRrobertwoods","Robert Woods","WR","FantasyPros",8.64,5400,"BUF"
"WRryangrant","Ryan Grant","WR","FantasyPros",1.08,4600,"WAS"
"WRsammiecoates","Sammie Coates","WR","FantasyPros",7.85,5400,"PIT"
"WRsethroberts","Seth Roberts","WR","FantasyPros",6.52,5400,"OAK"
"WRtajaesharpe","Tajae Sharpe","WR","FantasyPros",7.84,5600,"TEN"
"WRtavonaustin","Tavon Austin","WR","FantasyPros",8.16,5800,"LA"
"WRterrancewilliams","Terrance Williams","WR","FantasyPros",6.87,4600,"DAL"
"WRtravisbenjamin","Travis Benjamin","WR","FantasyPros",10.96,6600,"SD"
"WRtyrellwilliams","Tyrell Williams","WR","FantasyPros",10.16,6400,"SD"
"WRvincentjackson","Vincent Jackson","WR","FantasyPros",6.29,5100,"TB"
"WRwillfuller","Will Fuller","WR","FantasyPros",10.37,6700,"HOU"
