"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"Kgrahamgano",7.486,7.96,7.17,8.75,2,"16864-10744","Graham Gano","K","FanDuel","",8.75,5000,"CAR","KC",TRUE,"grahamgano",-0.00610319115283076,7.44031151102991
"Kgregzuerlein",6.3291428572,6.687857143,6.09,7.285714286,2,"16864-22109","Greg Zuerlein","K","FanDuel","",7.285714286,4600,"LA","NYJ",FALSE,"gregzuerlein",-0.00610319115283076,6.29051488850893
"Kjasonmyers",5.975,6.3125,5.75,6.875,2,"16864-60745","Jason Myers","K","FanDuel","",6.875,4500,"JAX","HOU",TRUE,"jasonmyers",-0.00610319115283076,5.93853343286184
"Kjoshlambo",8.088,8.805,7.61,10,2,"16864-32429","Josh Lambo","K","FanDuel","",10,4700,"SD","MIA",TRUE,"joshlambo",-0.00610319115283076,8.03863738995591
"Kmasoncrosby",8.38,8.425,8.35,8.5,2,"16864-6897","Mason Crosby","K","FanDuel","",8.5,4600,"GB","TEN",FALSE,"masoncrosby",0.0235491031091064,8.57734148405431
"Kmattbryant",8.8,9.625,8.25,11,2,"16864-10647","Matt Bryant","K","FanDuel","",11,5100,"ATL","PHI",FALSE,"mattbryant",-0.00610319115283076,8.74629191785509
"Knickfolk",6.5528888888,6.887222222,6.33,7.444444444,2,"16864-6642","Nick Folk","K","FanDuel","",7.444444444,4600,"NYJ","LA",TRUE,"nickfolk",-0.00610319115283076,6.51289535530839
"Knicknovak",7.404571428,8.43142857,6.72,10.14285714,2,"16864-12090","Nick Novak","K","FanDuel","",10.14285714,4500,"HOU","JAX",FALSE,"nicknovak",-0.00610319115283076,7.35937991317013
"Kphildawson",5.856,6.285,5.57,7,2,"16864-6702","Phil Dawson","K","FanDuel","",7,4500,"SF","ARI",FALSE,"phildawson",-0.00610319115283076,5.82025971260902
"Krobertoaguayo",5.95,5.5,4.75,6.25,2,"16864-24882","Roberto Aguayo","K","FanDuel","",4.75,4500,"TB","CHI",TRUE,"robertoaguayo",-0.00610319115283076,5.91368601264066
"Kryansuccop",6.5173333334,6.5733333335,6.48,6.666666667,2,"16864-6767","Ryan Succop","K","FanDuel","",6.666666667,4500,"TEN","GB",TRUE,"ryansuccop",0.0181350828718163,6.63552571350446
"Kstephengostkowski",8.295,8.1375,7.875,8.4,2,"16864-7900","Stephen Gostkowski","K","FanDuel","",7.875,5100,"NE","SEA",TRUE,"stephengostkowski",-0.00610319115283076,8.24437402938727
"Kstevenhauschka",8.375,8.375,8.375,8.375,1,"16864-6724","Steven Hauschka","K","FanDuel","",8.375,4800,"SEA","NE",FALSE,"stevenhauschka",-0.00610319115283076,8.32388577409504
"Kwillutz",9.5,9.5,9.5,9.5,1,"16864-48380","Wil Lutz","K","FanDuel","",9.5,4500,"NO","DEN",TRUE,"willutz",-0.00610319115283076,9.44201968404811
"QBaaronrodgers",22.491500168,22.70375042,22.35,23.05750084,2,"16864-6894","Aaron Rodgers","QB","FanDuel","",23.05750084,9000,"GB","TEN",FALSE,"aaronrodgers",0.0663460556381741,23.9837224895321
"QBalexsmith",16.074857222,15.437143055,14.37428611,16.5,2,"16864-8005","Alex Smith","QB","FanDuel","",14.37428611,6700,"KC","CAR",FALSE,"alexsmith",0.0369216478133443,16.6683674390005
"QBalextanney",1.5920000076,3.980000019,0,7.960000038,2,"16864-23075","Alex Tanney","QB","FanDuel","",7.960000038,5000,"TEN","GB",TRUE,"alextanney",0.973594070560302,3.14196177533132
"QBaustindavis",1.478666687,3.6966667175,0,7.393333435,2,"16864-22848","Austin Davis","QB","FanDuel","",7.393333435,5500,"DEN","NO",FALSE,"austindavis",0.432904656387877,2.11878838104794
"QBbenroethlisberger",19.889714216,20.30928554,19.61,21.00857108,2,"16864-6589","Ben Roethlisberger","QB","FanDuel","",21.00857108,7700,"PIT","DAL",TRUE,"benroethlisberger",-0.25707348702004,14.7765960266608
"QBblainegabbert",3.107999878,7.769999695,0,15.53999939,2,"16864-14194","Blaine Gabbert","QB","FanDuel","",15.53999939,6000,"SF","ARI",FALSE,"blainegabbert",0.259261913876294,3.91378587469757
"QBblakebortles",17.295499984,18.12874996,16.74,19.51749992,2,"16864-34308","Blake Bortles","QB","FanDuel","",19.51749992,7300,"JAX","HOU",TRUE,"blakebortles",0.0987899167719515,19.0041209879486
"QBbrandonweeden",2.280666606,5.701666515,0,11.40333303,2,"16864-21959","Brandon Weeden","QB","FanDuel","",11.40333303,6000,"HOU","JAX",FALSE,"brandonweeden",0.0434992558812703,2.37987390627426
"QBbrockosweiler",8.317499978,9.813749945,7.32,12.30749989,2,"16864-21994","Brock Osweiler","QB","FanDuel","",12.30749989,6900,"HOU","JAX",FALSE,"brockosweiler",-0.00844093290500592,8.24729251874832
"QBbrycepetty",9.055999998,5.944999995,0.75999999,11.13,2,"16864-31798","Bryce Petty","QB","FanDuel","",0.75999999,5000,"NYJ","LA",TRUE,"brycepetty",0.486280755806543,13.4597585216115
"QBcamnewton",19.75257155,19.846428875,19.69,20.00285775,2,"16864-14185","Cam Newton","QB","FanDuel","",20.00285775,7800,"CAR","KC",TRUE,"camnewton",-0.0715620884065288,18.3390362784826
"QBcarsonpalmer",18.003428476,17.33357119,16.21714238,18.45,2,"16864-6748","Carson Palmer","QB","FanDuel","",16.21714238,7900,"ARI","SF",TRUE,"carsonpalmer",-0.00372383138261845,17.9363867440463
"QBcarsonwentz",16.506999924,15.48249981,13.77499962,17.19,2,"16864-70324","Carson Wentz","QB","FanDuel","",13.77499962,6800,"PHI","ATL",TRUE,"carsonwentz",0.0630035085576084,17.5469988349722
"QBcasekeenum",14.461000092,14.34250023,14.14500046,14.54,2,"16864-22994","Case Keenum","QB","FanDuel","",14.14500046,6600,"LA","NYJ",FALSE,"casekeenum",0.961342346793774,28.3629718574283
"QBcolinkaepernick",16.521333212,17.37833303,15.95,18.80666606,2,"16864-14231","Colin Kaepernick","QB","FanDuel","",18.80666606,7300,"SF","ARI",FALSE,"colinkaepernick",-0.00686359978231088,16.4079373929626
"QBcoltmccoy",1.763999939,4.4099998475,0,8.819999695,2,"16864-11500","Colt McCoy","QB","FanDuel","",8.819999695,5500,"WAS","MIN",TRUE,"coltmccoy",0.350795513338738,2.38280320313101
"QBdakprescott",18.646500076,19.12125019,18.33,19.91250038,2,"16864-31716","Dak Prescott","QB","FanDuel","",19.91250038,7700,"DAL","PIT",FALSE,"dakprescott",0.11765459363614,20.840346465178
"QBderekanderson",1.5013333638,3.7533334095,0,7.506666819,2,"16864-6373","Derek Anderson","QB","FanDuel","",7.506666819,5000,"CAR","KC",TRUE,"derekanderson",-0.147704020082474,1.2795803904828
"QBdrewbrees",20.058500168,21.51125042,19.09,23.93250084,2,"16864-6504","Drew Brees","QB","FanDuel","",23.93250084,8200,"NO","DEN",TRUE,"drewbrees",-0.259634077408735,14.8506299826784
"QBjameiswinston",18.450000046,18.660000115,18.31,19.01000023,2,"16864-24849","Jameis Winston","QB","FanDuel","",19.01000023,7800,"TB","CHI",TRUE,"jameiswinston",0.0782375816155938,19.8934834304066
"QBjaycutler",15.978666642,13.786666605,10.13333321,17.44,2,"16864-6898","Jay Cutler","QB","FanDuel","",10.13333321,7000,"CHI","TB",FALSE,"jaycutler",0.130247865735581,18.0598538694208
"QBjimmygaroppolo",1.7719999314,4.4299998285,0,8.859999657,2,"16864-54604","Jimmy Garoppolo","QB","FanDuel","",8.859999657,6000,"NE","SEA",TRUE,"jimmygaroppolo",-0.687429554215782,0.553874808487302
"QBkirkcousins",17.048999938,17.572499845,16.7,18.44499969,2,"16864-22038","Kirk Cousins","QB","FanDuel","",18.44499969,7100,"WAS","MIN",TRUE,"kirkcousins",-0.0127215808372609,16.8321097070943
"QBlandryjones",1.008999979,1.9374999475,0.39,3.484999895,2,"16864-27405","Landry Jones","QB","FanDuel","",3.484999895,6000,"PIT","DAL",TRUE,"landryjones",-0.744515528797916,0.257783826077729
"QBlukemccown",1.2399999618,3.0999999045,0,6.199999809,2,"16864-8051","Luke McCown","QB","FanDuel","",6.199999809,5000,"NO","DEN",TRUE,"lukemccown",-0.853151169188936,0.182092544596094
"QBmarcusmariota",18.56844435,18.896110875,18.35,19.44222175,2,"16864-29358","Marcus Mariota","QB","FanDuel","",19.44222175,7400,"TEN","GB",TRUE,"marcusmariota",0.250692794747717,23.223419558219
"QBmattryan",20.581777914,21.784444785,19.78,23.78888957,2,"16864-6616","Matt Ryan","QB","FanDuel","",23.78888957,8600,"ATL","PHI",FALSE,"mattryan",0.0373729941590115,21.350980579762
"QBmikeglennon",1.8,4.5,0,9,2,"16864-25410","Mike Glennon","QB","FanDuel","",9,6000,"TB","CHI",TRUE,"mikeglennon",0.492154637460955,2.68587834742972
"QBnickfoles",3.12,7.2,0.4,14,2,"16864-22027","Nick Foles","QB","FanDuel","",14,6500,"KC","CAR",FALSE,"nickfoles",-0.0632958026468536,2.92251709574182
"QBpaxtonlynch",2.412000084,6.03000021,0,12.06000042,2,"16864-33463","Paxton Lynch","QB","FanDuel","",12.06000042,6000,"DEN","NO",FALSE,"paxtonlynch",0.513096762303529,3.64958951777624
"QBphiliprivers",18.941333334,18.463333335,17.66666667,19.26,2,"16864-7968","Philip Rivers","QB","FanDuel","",17.66666667,8100,"SD","MIA",TRUE,"philiprivers",-0.00159904774778763,18.9110452375922
"QBrussellwilson",17.612999938,16.612499845,14.94499969,18.28,2,"16864-22015","Russell Wilson","QB","FanDuel","",14.94499969,7400,"SEA","NE",FALSE,"russellwilson",0.0567321792544619,18.6122238076914
"QBryantannehill",15.189500046,14.723750115,13.94750023,15.5,2,"16864-21948","Ryan Tannehill","QB","FanDuel","",13.94750023,7200,"MIA","SD",FALSE,"ryantannehill",-0.0483033549975683,14.4557962330425
"QBsambradford",14.396571472,14.37642868,14.34285736,14.41,2,"16864-11414","Sam Bradford","QB","FanDuel","",14.34285736,7000,"MIN","WAS",FALSE,"sambradford",0.0635220623238912,15.3110713822947
"QBshaunhill",2.047999954,5.119999885,0,10.23999977,2,"16864-6844","Shaun Hill","QB","FanDuel","",10.23999977,6000,"MIN","WAS",FALSE,"shaunhill",-0.653521003781951,0.709588968316531
"QBtombrady",21.274000184,23.15500046,20.02,26.29000092,2,"16864-6498","Tom Brady","QB","FanDuel","",26.29000092,8300,"NE","SEA",TRUE,"tombrady",-0.299997543397977,14.8918523905519
"QBtrevoneboykin",1.080000019,2.7000000475,0,5.400000095,2,"16864-32514","Trevone Boykin","QB","FanDuel","",5.400000095,6000,"SEA","NE",FALSE,"trevoneboykin",-0.0805550988413294,0.993000510720818
"QBtrevorsiemian",16.598000076,15.38000019,13.35000038,17.41,2,"16864-28434","Trevor Siemian","QB","FanDuel","",13.35000038,7200,"DEN","NO",FALSE,"trevorsiemian",-0.0296016563676404,16.1066717813602
"QBzachmettenberger",1.4057143076,3.514285769,0,7.028571538,2,"16864-31421","Zach Mettenberger","QB","FanDuel","",7.028571538,5000,"PIT","DAL",TRUE,"zachmettenberger",-1.28275773485404,-0.397476593468892
"RBaaronripkowski",1.364,1.565,1.23,1.9,2,"16864-27411","Aaron Ripkowski","RB","FanDuel","",1.9,4700,"GB","TEN",FALSE,"aaronripkowski",-0.0403146675479246,1.30901079346463
"RBalexcollins",1.296,1.71,1.02,2.4,2,"16864-40843","Alex Collins","RB","FanDuel","",2.4,4500,"SEA","NE",FALSE,"alexcollins",0.318802831911003,1.70916847015666
"RBalfredblue",2.9735000096,2.753750024,2.387500048,3.12,2,"16864-31406","Alfred Blue","RB","FanDuel","",2.387500048,4500,"HOU","JAX",FALSE,"alfredblue",-0.0484436912997088,2.82945269305526
"RBalfredmorris",3.3734999904,3.603749976,3.22,3.987499952,2,"16864-22113","Alfred Morris","RB","FanDuel","",3.987499952,4500,"DAL","PIT",FALSE,"alfredmorris",-0.111506396382641,2.99733316327362
"RBandreellington",4.5595,3.38875,1.4375,5.34,2,"16864-24682","Andre Ellington","RB","FanDuel","",1.4375,4500,"ARI","SF",TRUE,"andreellington",-0.19080534733844,3.68952301881038
"RBandyjanovich",2.0319999848,2.349999962,1.82,2.879999924,2,"16864-27273","Andy Janovich","RB","FanDuel","",2.879999924,4500,"DEN","NO",FALSE,"andyjanovich",-0.149660704218549,1.72788943610275
"RBantonioandrews",1.404,1.065,0.5,1.63,2,"16864-47828","Antonio Andrews","RB","FanDuel","",0.5,4500,"TEN","GB",TRUE,"antonioandrews",0.208831148073619,1.69719893189536
"RBbilalpowell",6.7991110942,6.7827777355,6.755555471,6.81,2,"16864-14320","Bilal Powell","RB","FanDuel","",6.755555471,5400,"NYJ","LA",TRUE,"bilalpowell",-0.156909206039326,5.73226797063591
"RBcameronartispayne",2.1946666666,4.8716666665,0.41,9.333333333,2,"16864-38269","Cameron Artis-Payne","RB","FanDuel","",9.333333333,4500,"CAR","KC",TRUE,"cameronartispayne",0.0481624902111277,2.30036727844681
