"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"Dbal",7.1745714286,8.112857143,6.94,9.285714286,2,"16789-12555","BAL","D","FanDuel","",9.285714286,4400,"BAL","PIT",TRUE,"bal",-0.0331424693806559,6.9367884147083
"Dcar",8.0471428571,7.8357142855,7.571428571,8.1,2,"16789-12553","CAR","D","FanDuel","",7.571428571,5200,"CAR","LA",FALSE,"car",0.221249548344375,9.82756957969604
"Dcle",5.226,4.57,3.75,5.39,2,"16789-12529","CLE","D","FanDuel","",3.75,4000,"CLE","DAL",TRUE,"cle",-0.128864553096034,4.55255384552012
"Ddal",7.5051428571,6.6457142855,5.571428571,7.72,2,"16789-12530","DAL","D","FanDuel","",5.571428571,4900,"DAL","CLE",FALSE,"dal",0.229339003714214,9.22636484268016
"Dden",8.519,9.955,8.16,11.75,2,"16789-12531","DEN","D","FanDuel","",11.75,5000,"DEN","OAK",FALSE,"den",0.0896305410524405,9.28256257922574
"Ddet",6.494,5.83,5,6.66,2,"16789-12532","DET","D","FanDuel","",5,4200,"DET","MIN",FALSE,"det",-0.303493403799487,4.52311383572613
"Dgb",7.287,6.715,6,7.43,2,"16789-12533","GB","D","FanDuel","",6,4400,"GB","IND",TRUE,"gb",0.0672016353293814,7.7766983166452
"Dind",3.9515,3.9175,3.875,3.96,2,"16789-12535","IND","D","FanDuel","",3.875,4000,"IND","GB",FALSE,"ind",-0.0951137878835489,3.57565786717816
"Djax",5.8625714286,4.272857143,2.285714286,6.26,2,"16789-12554","JAX","D","FanDuel","",2.285714286,4000,"JAX","KC",FALSE,"jax",0.293626908642468,7.58398015387547
"Dkc",10.267857143,10.339285715,10.25,10.42857143,2,"16789-12536","KC","D","FanDuel","",10.42857143,5100,"KC","JAX",TRUE,"kc",-0.244129613951367,7.76116914257163
"Dla",7.3975714286,7.347857143,7.285714286,7.41,2,"16789-12538","LA","D","FanDuel","",7.285714286,4500,"LA","CAR",TRUE,"la",-0.103588573380895,6.63126755782806
"Dmia",7.458,6.81,6,7.62,2,"16789-12539","MIA","D","FanDuel","",6,4700,"MIA","NYJ",TRUE,"mia",-0.111324036641211,6.62774533472985
"Dmin",9.649857143,11.329285715,9.23,13.42857143,2,"16789-12540","MIN","D","FanDuel","",13.42857143,5300,"MIN","DET",TRUE,"min",-0.0211921502293856,9.44535592073344
"Dno",5.5237142857,4.3385714285,2.857142857,5.82,2,"16789-12542","NO","D","FanDuel","",2.857142857,4300,"NO","SF",FALSE,"no",0.154515969189712,6.377216352082
"Dnyg",6.5738571429,6.5092857145,6.428571429,6.59,2,"16789-12543","NYG","D","FanDuel","",6.428571429,4300,"NYG","PHI",TRUE,"nyg",0.110868174268549,7.30268868223558
"Dnyj",6.784,5.88,4.75,7.01,2,"16789-12544","NYJ","D","FanDuel","",4.75,4300,"NYJ","MIA",FALSE,"nyj",0.14383530997318,7.75977874285805
"Doak",6.606,5.67,4.5,6.84,2,"16789-12537","OAK","D","FanDuel","",4.5,4200,"OAK","DEN",TRUE,"oak",-0.224390232779718,5.12367812225718
"Dphi",8.295142857,10.195714285,7.82,12.57142857,2,"16789-12545","PHI","D","FanDuel","",12.57142857,4600,"PHI","NYG",FALSE,"phi",-0.164508430693943,6.93052192321286
"Dpit",6.7428571429,5.7142857145,4.428571429,7,2,"16789-12547","PIT","D","FanDuel","",4.428571429,4400,"PIT","BAL",FALSE,"pit",-0.0049946059538658,6.70917922846801
"Dsd",6.4415,6.9675,6.31,7.625,2,"16789-12548","SD","D","FanDuel","",7.625,4500,"SD","TEN",TRUE,"sd",0.372638896177415,8.84185344972682
"Dsf",5.2144285714,4.992142857,4.714285714,5.27,2,"16789-12549","SF","D","FanDuel","",4.714285714,4000,"SF","NO",TRUE,"sf",-0.2564321668605,3.8772813538966
"Dten",6.522,6.29,6,6.58,2,"16789-12534","TEN","D","FanDuel","",6,4100,"TEN","SD",FALSE,"ten",0.00826803795887665,6.57592414356779
