"QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","Salary","PredictedPoints"
"Aaron Rodgers, GB, , 8900","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","SF, SF, , 4000","59900","197.970415750194"
"Aaron Rodgers, GB, , 8900","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","JAX, JAX, , 4100","60000","197.780874910757"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","59900","197.662839346123"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Jarvis Landry, MIA, , 7000","Dez Bryant, DAL, , 7900","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","59800","197.104394771787"
"Aaron Rodgers, GB, , 8900","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","SF, SF, , 4000","59800","196.822915750194"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","MIA, MIA, , 4600","60000","196.563828857649"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","CIN, CIN, , 4500","59800","196.515339346123"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Jarvis Landry, MIA, , 7000","Dez Bryant, DAL, , 7900","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","MIA, MIA, , 4600","59900","196.005384283313"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Jarvis Landry, MIA, , 7000","Dez Bryant, DAL, , 7900","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","CIN, CIN, , 4500","59700","195.956894771787"
"Ben Roethlisberger, PIT, , 8400","Giovani Bernard, CIN, , 5700","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Allen Hurns, JAX, , 6500","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","59800","195.210860251033"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","GB, GB, , 4400","59700","195.116486616154"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Doug Baldwin, SEA, Q, 7200","Dez Bryant, DAL, , 7900","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","60000","195.038431814942"
"Aaron Rodgers, GB, , 8900","Giovani Bernard, CIN, , 5700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Randall Cobb, GB, , 7100","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","59400","194.881974299239"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Jarvis Landry, MIA, , 7000","Dez Bryant, DAL, , 7900","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","DEN, DEN, , 4800","60000","194.728198506114"
"Ben Roethlisberger, PIT, , 8400","Shane Vereen, NYG, , 5200","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Jarvis Landry, MIA, , 7000","Dez Bryant, DAL, , 7900","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","GB, GB, , 4400","59600","194.558042041818"
