QB.Name,RB1.Name,RB2.Name,WR1.Name,WR2.Name,WR3.Name,TE.Name,K.Name,D.Name,Salary,PredictedPoints
"Matthew Stafford, DET, , 8200","DeAndre Washington, OAK, , 4700","Giovani Bernard, CIN, , 5500","Antonio Brown, PIT, , 9600","Marvin Jones Jr., DET, Q, 7800","A.J. Green, CIN, , 8700","Hunter Henry, SD, , 5400","Mason Crosby, GB, , 4500","NE, NE, , 4800",59200,163.6367135
"Matthew Stafford, DET, , 8200","DeAndre Washington, OAK, , 4700","Giovani Bernard, CIN, , 5500","Antonio Brown, PIT, , 9600","Marvin Jones Jr., DET, Q, 7800","A.J. Green, CIN, , 8700","Dennis Pitta, BAL, , 5500","Justin Tucker, BAL, , 5000","NE, NE, , 4800",59800,163.6305637
"Andy Dalton, CIN, , 7800","DeAndre Washington, OAK, , 4700","Frank Gore, IND, , 6500","Antonio Brown, PIT, , 9600","A.J. Green, CIN, , 8700","Marvin Jones Jr., DET, Q, 7800","Hunter Henry, SD, , 5400","Josh Lambo, SD, , 4600","NE, NE, , 4800",59900,163.6237251
"Matthew Stafford, DET, , 8200","DeAndre Washington, OAK, , 4700","Giovani Bernard, CIN, , 5500","Antonio Brown, PIT, , 9600","Marvin Jones Jr., DET, Q, 7800","A.J. Green, CIN, , 8700","Hunter Henry, SD, , 5400","Josh Lambo, SD, , 4600","NE, NE, , 4800",59300,163.4245296
"Matthew Stafford, DET, , 8200","DeAndre Washington, OAK, , 4700","Theo Riddick, DET, , 6200","Antonio Brown, PIT, , 9600","Marvin Jones Jr., DET, Q, 7800","A.J. Green, CIN, , 8700","Zach Ertz, PHI, , 5600","Mason Crosby, GB, , 4500","CIN, CIN, , 4700",60000,163.367981
"Matthew Stafford, DET, , 8200","DeAndre Washington, OAK, , 4700","Giovani Bernard, CIN, , 5500","Antonio Brown, PIT, , 9600","Marvin Jones Jr., DET, Q, 7800","A.J. Green, CIN, , 8700","Hunter Henry, SD, , 5400","Adam Vinatieri, IND, , 4700","NE, NE, , 4800",59400,163.3621903
"Brian Hoyer, CHI, , 6000","Frank Gore, IND, , 6500","Theo Riddick, DET, , 6200","Antonio Brown, PIT, , 9600","A.J. Green, CIN, , 8700","Marvin Jones Jr., DET, Q, 7800","Dennis Pitta, BAL, , 5500","Mason Crosby, GB, , 4500","NE, NE, , 4800",59600,163.3110893
"Matthew Stafford, DET, , 8200","DeAndre Washington, OAK, , 4700","Frank Gore, IND, , 6500","Antonio Brown, PIT, , 9600","Marvin Jones Jr., DET, Q, 7800","A.J. Green, CIN, , 8700","Jack Doyle, IND, , 4700","Mason Crosby, GB, , 4500","NE, NE, , 4800",59500,163.2400147
"Matthew Stafford, DET, , 8200","DeAndre Washington, OAK, , 4700","Theo Riddick, DET, , 6200","Antonio Brown, PIT, , 9600","Marvin Jones Jr., DET, Q, 7800","A.J. Green, CIN, , 8700","Jack Doyle, IND, , 4700","Stephen Gostkowski, NE, , 5100","NE, NE, , 4800",59800,163.2037479
"Brian Hoyer, CHI, , 6000","Frank Gore, IND, , 6500","Theo Riddick, DET, , 6200","Antonio Brown, PIT, , 9600","A.J. Green, CIN, , 8700","Marvin Jones Jr., DET, Q, 7800","Dennis Pitta, BAL, , 5500","Josh Lambo, SD, , 4600","NE, NE, , 4800",59700,163.0989053
