"QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","Salary","PredictedPoints"
"Case Keenum, LA, , 6600","C.J. Prosise, SEA, , 4700","Melvin Gordon, SD, , 8300","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","60000","190.398878368039"
"Case Keenum, LA, , 6600","C.J. Prosise, SEA, , 4700","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Stefon Diggs, MIN, , 6700","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","59800","189.501978257765"
"Case Keenum, LA, , 6600","Devonta Freeman, ATL, , 7000","Matt Forte, NYJ, , 7100","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Brian Quick, LA, , 4500","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","60000","189.367916005837"
"Case Keenum, LA, , 6600","Darren Sproles, PHI, , 5100","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","59100","189.181496783015"
"Case Keenum, LA, , 6600","C.J. Prosise, SEA, , 4700","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","58700","188.873547292701"
"Case Keenum, LA, , 6600","Chris Thompson, WAS, , 4900","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Stefon Diggs, MIN, , 6700","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","60000","188.789410883621"
"Case Keenum, LA, , 6600","C.J. Prosise, SEA, , 4700","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Stefon Diggs, MIN, , 6700","Rob Gronkowski, NE, , 8000","Mason Crosby, GB, , 4600","MIN, MIN, , 4900","59900","188.637300057771"
"Case Keenum, LA, , 6600","Devonta Freeman, ATL, , 7000","Mark Ingram, NO, , 6300","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Dontrelle Inman, SD, , 5300","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","60000","188.617967303731"
"Case Keenum, LA, , 6600","Darren Sproles, PHI, , 5100","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Matt Bryant, ATL, , 5100","MIN, MIN, , 4900","59700","188.485769016822"
"Case Keenum, LA, , 6600","C.J. Prosise, SEA, , 4700","Melvin Gordon, SD, , 8300","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","KC, KC, , 4700","59800","188.459215061637"
"Case Keenum, LA, , 6600","Devonta Freeman, ATL, , 7000","Melvin Gordon, SD, , 8300","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Jason Witten, DAL, , 5400","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","59700","188.409161458294"
"Case Keenum, LA, , 6600","Darren Sproles, PHI, , 5100","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Mason Crosby, GB, , 4600","MIN, MIN, , 4900","59200","188.316818583021"
"Case Keenum, LA, , 6600","Devonta Freeman, ATL, , 7000","Melvin Gordon, SD, , 8300","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Brian Quick, LA, , 4500","Jordan Reed, WAS, , 7000","Wil Lutz, NO, , 4500","KC, KC, , 4700","60000","188.272372154221"
"Case Keenum, LA, , 6600","Darren Sproles, PHI, , 5100","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Dan Bailey, DAL, , 4900","MIN, MIN, , 4900","59500","188.247831988816"
"Case Keenum, LA, , 6600","C.J. Prosise, SEA, , 4700","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Matt Bryant, ATL, , 5100","MIN, MIN, , 4900","59300","188.177819526508"
"Case Keenum, LA, , 6600","Chris Thompson, WAS, , 4900","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","58900","188.160979918556"
"Case Keenum, LA, , 6600","Devonta Freeman, ATL, , 7000","Melvin Gordon, SD, , 8300","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Antonio Gates, SD, , 5700","Wil Lutz, NO, , 4500","MIN, MIN, , 4900","60000","188.121370730766"
"Case Keenum, LA, , 6600","Darren Sproles, PHI, , 5100","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Steven Hauschka, SEA, , 4800","MIN, MIN, , 4900","59400","188.063362873062"
"Case Keenum, LA, , 6600","C.J. Prosise, SEA, , 4700","Devonta Freeman, ATL, , 7000","Julio Jones, ATL, , 8800","Antonio Brown, PIT, , 8600","Mohamed Sanu, ATL, , 5600","Rob Gronkowski, NE, , 8000","Mason Crosby, GB, , 4600","MIN, MIN, , 4900","58800","188.008869092707"
