"","id","Name","Position","PassingCompletions","PassingAttempts","PassingYards","PassingTD","Interceptions","RushingAttempts","RushingYards","RushingTD","Receptions","ReceptionYards","ReceptionTD","MiscFumTD","Misc2Point","FumblesLost","Source","PredictedPoints"
"61","","Luke McCown","QB",1.9,3.1,20.5,0.1,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"71","","Dan Orlovsky","QB",1.9,3.1,21.5,0.1,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.0125
"81","","Derek Anderson","QB",1.6,2.7,17.1,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.025
"91","","Matt Cassel","QB",9,14.8,99.7,0.6,0.5,0.8,3.3,0,0,0,0,-1,-1,-1,"ESPN",0.26875
"101","","Kellen Clemens","QB",1.8,3,19.8,0.1,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"111","","Tarvaris Jackson","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"121","","Charlie Whitehurst","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"131","","Bruce Gradkowski","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"141","","Drew Stanton","QB",9.4,16.6,109.2,0.8,0.5,0.9,3.6,0,0,0,0,-1,-1,-1,"ESPN",0.40625
"151","","Matt Moore","QB",1.7,3,19.7,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.0125
"161","","Chad Henne","QB",1.7,3,18.9,0.2,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.025
"171","","Josh Johnson","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"181","","Matt Flynn","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"191","","Chase Daniel","QB",22.8,37.1,247.7,1.6,0.7,3.5,14.2,0.1,0,0,0,-1,-1,-1,"ESPN",0.975
"201","","Josh Freeman","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"211","","Jimmy Clausen","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"221","","Colt McCoy","QB",1.7,2.9,19.5,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"231","","Tim Tebow","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"241","","Dan LeFevour","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"251","","Joe Webb","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"261","","Thaddeus Lewis*","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"271","","Christian Ponder","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"281","","Ryan Mallett","QB",1.8,3,19.8,0.1,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"291","","T.J. Yates","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"301","","Jerrod Johnson","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"311","","Scott Tolzien","QB",1.9,3.1,20.5,0.2,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.025
"321","","Nick Foles","QB",1.6,2.7,17.5,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.0125
"331","","Brandon Weeden","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"341","","Kellen Moore*","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
