"Key","Position","Home","mean.weight","mean.nonweight","min","max","freq","Id","Name","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","NameRM","bonusPositionHome","deepBonus","mean"
"Kjoshlambo","K",FALSE,7.986,8.77,7.79,9.75,2,"16502-32429","Josh Lambo","FanDuel","","",9.75,4600,"SD","OAK","joshlambo",0,0.0444796135893823,8.34121419412481
"Kjustintucker","K",TRUE,8.902,10.39,8.53,12.25,2,"16502-23045","Justin Tucker","FanDuel","","",12.25,5000,"BAL","WAS","justintucker",-0.0115723100467722,0.0811633252471531,9.52149921731379
"Kmasoncrosby","K",TRUE,8.3023333333,7.8716666665,7.333333333,8.41,2,"16502-6897","Mason Crosby","FanDuel","","",7.333333333,4500,"GB","NYG","masoncrosby",-0.0115723100467722,0.0418125828177425,8.55339815793451
"Kmattbryant","K",FALSE,7.242,8.69,6.88,10.5,2,"16502-10647","Matt Bryant","FanDuel","","",10.5,4800,"ATL","DEN","mattbryant",0,-0.018550125996747,7.10765998753156
"Kmattprater","K",TRUE,7.182,7.99,6.98,9,2,"16502-6782","Matt Prater","FanDuel","","",9,4600,"DET","PHI","mattprater",-0.0115723100467722,-0.018550125996747,6.96566066433545
"Kmikenugent","K",FALSE,7.747,9.415,7.33,11.5,2,"16502-6636","Mike Nugent","FanDuel","","",11.5,4600,"CIN","DAL","mikenugent",0,-0.018550125996747,7.6032921739032
"Knickfolk","K",FALSE,6.686,7.27,6.54,8,2,"16502-6642","Nick Folk","FanDuel","","",8,4500,"NYJ","PIT","nickfolk",0,-0.0145640074536207,6.58862504616509
"Knicknovak","K",FALSE,7.380333333,9.581666665,6.83,12.33333333,2,"16502-12090","Nick Novak","FanDuel","","",12.33333333,4600,"HOU","MIN","nicknovak",0,-0.018550125996747,7.24342721977486
"Kryansuccop","K",FALSE,6.22,5.9,5.5,6.3,2,"16502-6767","Ryan Succop","FanDuel","","",5.5,4500,"TEN","MIA","ryansuccop",0,-0.018550125996747,6.10461821630023
"Ksebastianjanikowski","K",TRUE,6.947,6.415,5.75,7.08,2,"16502-7831","Sebastian Janikowski","FanDuel","","",5.75,4800,"OAK","SD","sebastianjanikowski",-0.0115723100467722,-0.018550125996747,6.73773943680567
"Kstephengostkowski","K",FALSE,8.76,8.2,7.5,8.9,2,"16502-7900","Stephen Gostkowski","FanDuel","","",7.5,5100,"NE","CLE","stephengostkowski",0,0.0997530827620272,9.63383700499536
"QBaaronrodgers","QB",TRUE,22.439333242,22.59666621,22.4,22.79333242,2,"16502-6894","Aaron Rodgers","FanDuel","","",22.79333242,9100,"GB","NYG","aaronrodgers",0.0708896874774616,0.00416498199802473,24.1235099817286
"QBandrewluck","QB",TRUE,20.392000084,20.16000042,19.87000084,20.45,2,"16502-21939","Andrew Luck","FanDuel","Q","Shoulder",19.87000084,8600,"IND","CHI","andrewluck",0.0708896874774616,0.110091661937846,24.0825717764794
"QBandydalton","QB",FALSE,17.627000034,16.85500017,15.89000034,17.82,2,"16502-14225","Andy Dalton","FanDuel","","",15.89000034,7800,"CIN","DAL","andydalton",0,0.0181586608877424,17.9470827500856
"QBbenroethlisberger","QB",TRUE,21.277000061,21.425000305,21.24,21.61000061,2,"16502-6589","Ben Roethlisberger","FanDuel","","",21.61000061,8600,"PIT","NYJ","benroethlisberger",0.0708896874774616,-0.230971591125002,17.8709373873263
"QBbrandonweeden","QB",FALSE,1.140333303,5.701666515,0,11.40333303,2,"16502-21959","Brandon Weeden","FanDuel","","",11.40333303,6000,"HOU","MIN","brandonweeden",0,0.272146948637831,1.45067153184155
"QBbrianhoyer","QB",FALSE,17.034666626,15.65333313,13.92666626,17.38,2,"16502-7872","Brian Hoyer","FanDuel","","",13.92666626,6000,"CHI","IND","brianhoyer",0,0.0600675173507883,18.0578967591221
"QBbrockosweiler","QB",FALSE,13.471999958,13.67999979,13.42,13.93999958,2,"16502-21994","Brock Osweiler","FanDuel","","",13.93999958,7200,"HOU","MIN","brockosweiler",0,-0.103670712560118,12.0753481227443
"QBcarsonwentz","QB",FALSE,18.49300002,18.1050001,17.6200002,18.59,2,"16502-70324","Carson Wentz","FanDuel","","",17.6200002,7500,"PHI","DET","carsonwentz",0,-0.0279781112578097,17.9756008079498
"QBcasekeenum","QB",TRUE,8.825,10.125,8.5,11.75,2,"16502-22994","Case Keenum","FanDuel","","",11.75,6600,"LA","BUF","casekeenum",0.0708896874774616,0.185821563204768,11.0904767872707
"QBcodykessler","QB",TRUE,6.723000034,8.57500017,6.26,10.89000034,2,"16502-29587","Cody Kessler","FanDuel","","",10.89000034,6400,"CLE","NE","codykessler",0.0708896874774616,0.0318582440042094,7.4137743808447
"QBdakprescott","QB",TRUE,16.694500008,17.07250004,16.6,17.54500008,2,"16502-31716","Dak Prescott","FanDuel","","",17.54500008,7300,"DAL","CIN","dakprescott",0.0708896874774616,-0.0791650680186887,16.5563466674883
"QBderekcarr","QB",TRUE,19.720500061,20.282500305,19.58,20.98500061,2,"16502-45859","Derek Carr","FanDuel","","",20.98500061,8100,"OAK","SD","derekcarr",0.0708896874774616,-0.276556840772156,15.6646409519063
"QBelimanning","QB",FALSE,17.797000023,16.225000115,14.26000023,18.19,2,"16502-6826","Eli Manning","FanDuel","","",14.26000023,7700,"NYG","GB","elimanning",0,0.0691385129841877,19.0274581401698
"QBgenosmith","QB",FALSE,2.1,10.5,0,21,2,"16502-26483","Geno Smith","FanDuel","","",21,5000,"NYJ","PIT","genosmith",0,0.35673969170881,2.8491533525885
"QBjoeflacco","QB",TRUE,17.606500084,17.11250042,16.49500084,17.73,2,"16502-6714","Joe Flacco","FanDuel","","",16.49500084,7600,"BAL","WAS","joeflacco",0.0708896874774616,0.116967031021522,20.9139994140323
"QBkirkcousins","QB",FALSE,17.371500008,17.33750004,17.29500008,17.38,2,"16502-22038","Kirk Cousins","FanDuel","","",17.29500008,7500,"WAS","BAL","kirkcousins",0,-0.0649491888037351,16.2432351741763
"QBmarcusmariota","QB",FALSE,15.302000019,14.190000095,12.80000019,15.58,2,"16502-29358","Marcus Mariota","FanDuel","","",12.80000019,7000,"TEN","MIA","marcusmariota",0,0.0600169300375788,16.2203790835754
"QBmarksanchez","QB",TRUE,1.570000005,6.330000025,0.38,12.28000005,2,"16502-6687","Mark Sanchez","FanDuel","","",12.28000005,5000,"DAL","CIN","marksanchez",0.0708896874774616,0.0426497748654773,1.74825696144611
"QBmatthewstafford","QB",TRUE,17.883999992,18.85999996,17.64,20.07999992,2,"16502-6654","Matthew Stafford","FanDuel","","",20.07999992,8200,"DET","PHI","matthewstafford",0.0708896874774616,0.15761239373565,21.9705312105873
"QBmattryan","QB",FALSE,17.914500069,22.132500345,16.86,27.40500069,2,"16502-6616","Matt Ryan","FanDuel","","",27.40500069,7700,"ATL","DEN","mattryan",0,-0.245945982069944,13.5085007562377
"QBmattschaub","QB",FALSE,1.530000019,7.650000095,0,15.30000019,2,"16502-6679","Matt Schaub","FanDuel","","",15.30000019,6000,"ATL","DEN","mattschaub",0,-0.434095701336143,0.865833587707882
"QBpaxtonlynch","QB",TRUE,14.872999962,12.88499981,10.39999962,15.37,2,"16502-33463","Paxton Lynch","FanDuel","","",10.39999962,6800,"DEN","ATL","paxtonlynch",0.0708896874774616,-0.0535967163596297,15.1301983207784
"QBphiliprivers","QB",FALSE,19.9895,18.8275,17.375,20.28,2,"16502-7968","Philip Rivers","FanDuel","","",17.375,8300,"SD","OAK","philiprivers",0,0.0732301064334402,21.4533332125513
"QBryanfitzpatrick","QB",FALSE,16.070499969,14.792499845,13.19499969,16.39,2,"16502-7659","Ryan Fitzpatrick","FanDuel","","",13.19499969,6900,"NYJ","PIT","ryanfitzpatrick",0,0.121178471904893,18.017898597991
"QBryanmallett","QB",TRUE,1.099142892,5.49571446,0,10.99142892,2,"16502-14267","Ryan Mallett","FanDuel","","",10.99142892,6000,"BAL","WAS","ryanmallett",0.0708896874774616,0.211269945547399,1.4092766470486
"QBryantannehill","QB",TRUE,16.293999985,16.789999925,16.17,17.40999985,2,"16502-21948","Ryan Tannehill","FanDuel","","",17.40999985,7100,"MIA","TEN","ryantannehill",0.0708896874774616,0.0592333831131049,18.4142252952508
"QBsambradford","QB",TRUE,14.185333354,14.52666677,14.1,14.95333354,2,"16502-11414","Sam Bradford","FanDuel","","",14.95333354,7400,"MIN","HOU","sambradford",0.0708896874774616,-0.268489472140541,11.3823145378756
"QBshaunhill","QB",TRUE,1.374999977,5.314999885,0.39,10.23999977,2,"16502-6844","Shaun Hill","FanDuel","","",10.23999977,6000,"MIN","HOU","shaunhill",0.0708896874774616,-0.272146948637831,1.09827124753341
"QBtombrady","QB",FALSE,21.383000076,21.63500038,21.32,21.95000076,2,"16502-6498","Tom Brady","FanDuel","","",21.95000076,8700,"NE","CLE","tombrady",0,-0.0564814668603598,20.1752568658323
"QBtyrodtaylor","QB",FALSE,15.770999954,15.97499977,15.72,16.22999954,2,"16502-14377","Tyrod Taylor","FanDuel","","",16.22999954,7600,"BUF","LA","tyrodtaylor",0,0.163701980568686,18.3527438820185
"RBalfredblue","RB",FALSE,1.8925,1.6625,1.375,1.95,2,"16502-31406","Alfred Blue","FanDuel","","",1.375,4600,"HOU","MIN","alfredblue",0,0.133697705535597,2.14552290772612
"RBalfredmorris","RB",TRUE,4.4790000191,4.9550000955,4.36,5.550000191,2,"16502-22113","Alfred Morris","FanDuel","","",5.550000191,5100,"DAL","CIN","alfredmorris",0.0181873886389876,0.00211778678490582,4.56994690021145
"RBandyjanovich","RB",TRUE,1.6193333206,2.736666603,1.34,4.133333206,2,"16502-27273","Andy Janovich","FanDuel","","",4.133333206,4500,"DEN","ATL","andyjanovich",0.0181873886389876,-0.113198870340084,1.46547806244184
"RBarianfoster","RB",TRUE,4.2919999809,5.1399999045,4.08,6.199999809,2,"16502-10777","Arian Foster","FanDuel","Q","Hamstring",6.199999809,6700,"MIA","TEN","arianfoster",0.0181873886389876,0.02548761741094,4.4794531060321
"RBbennycunningham","RB",TRUE,1.8874999976,1.837499988,1.774999976,1.9,2,"16502-39649","Benny Cunningham","FanDuel","Q","Thigh",1.774999976,4600,"LA","BUF","bennycunningham",0.0181873886389876,0.321911441763853,2.52943653916912
"RBbilalpowell","RB",FALSE,7.9235000191,7.2575000955,6.425000191,8.09,2,"16502-14320","Bilal Powell","FanDuel","","",6.425000191,5100,"NYJ","PIT","bilalpowell",0,-0.140754343151762,6.80823297844861
"RBbobbyrainey","RB",FALSE,5.1179999809,5.7099999045,4.97,6.449999809,2,"16502-22958","Bobby Rainey","FanDuel","","",6.449999809,4900,"NYG","GB","bobbyrainey",0,-0.383672997675553,3.15436158612467
"RBchristhompson","RB",FALSE,6.0024999809,6.8124999045,5.8,7.824999809,2,"16502-24891","Chris Thompson","FanDuel","","",7.824999809,5400,"WAS","BAL","christhompson",0,-0.136047406912061,5.18587542350886
"RBcjanderson","RB",TRUE,15.763,15.535,15.25,15.82,2,"16502-29249","C.J. Anderson","FanDuel","","",15.25,8000,"DEN","ATL","cjanderson",0.0181873886389876,-0.23684126601284,12.316358930956
"RBdamienwilliams","RB",TRUE,3.9543333079,4.6116665395,3.79,5.433333079,2,"16502-27441","Damien Williams","FanDuel","","",5.433333079,4900,"MIA","TEN","damienwilliams",0.0181873886389876,-0.0715116467361514,3.74347141798733
"RBdarrensproles","RB",FALSE,8.719999949,9.599999745,8.5,10.69999949,2,"16502-7972","Darren Sproles","FanDuel","","",10.69999949,5400,"PHI","DET","darrensproles",0,0.0191787079206374,8.88723828108984
"RBdeandrewashington","RB",TRUE,10.0159999905,7.7199999525,4.849999905,10.59,2,"16502-32613","DeAndre Washington","FanDuel","","",4.849999905,4700,"OAK","SD","deandrewashington",0.0181873886389876,-0.0903772438526537,9.29294640136573
"RBdeangelowilliams","RB",TRUE,6.249499962,10.92749981,5.08,16.77499962,2,"16502-6732","DeAngelo Williams","FanDuel","","",16.77499962,5700,"PIT","NYJ","deangelowilliams",0.0181873886389876,0.359115054958422,8.60745156892452
"RBdemarcomurray","RB",FALSE,17.072499962,19.16249981,16.55,21.77499962,2,"16502-14254","DeMarco Murray","FanDuel","","",21.77499962,8400,"TEN","MIA","demarcomurray",0,-0.0484942341148953,16.2445821519162
"RBderrickhenry","RB",FALSE,4.9950000191,4.5750000955,4.050000191,5.1,2,"16502-39280","Derrick Henry","FanDuel","","",4.050000191,5200,"TEN","MIA","derrickhenry",0,0.0218893595733827,5.10433737058713
"RBdevontaebooker","RB",TRUE,4.2649999905,3.5249999525,2.599999905,4.45,2,"16502-39580","Devontae Booker","FanDuel","","",2.599999905,5100,"DEN","ATL","devontaebooker",0.0181873886389876,0.06261609815123,4.60962686089264
"RBdevontafreeman","RB",FALSE,13.282500038,13.81250019,13.15,14.47500038,2,"16502-24920","Devonta Freeman","FanDuel","","",14.47500038,7400,"ATL","DEN","devontafreeman",0,0.162203287935504,15.4369652161671
"RBdextermccluster","RB",FALSE,3.296,2.72,2,3.44,2,"16502-11454","Dexter McCluster","FanDuel","","",2,4500,"SD","OAK","dextermccluster",0,0.184725382372189,3.90485486029874
"RBdjfoster","RB",FALSE,1.399999976,1.399999976,1.399999976,1.399999976,1,"16502-29183","D.J. Foster","FanDuel","","",1.399999976,4700,"NE","CLE","djfoster",0,-0.229829794016657,1.07823826989259
"RBdukejohnsonjr","RB",TRUE,8.324999809,8.324999809,8.324999809,8.324999809,1,"16502-25837","Duke Johnson Jr.","FanDuel","","",8.324999809,5300,"CLE","NE","dukejohnsonjr",0.0181873886389876,0.113810534912741,9.42388249735654
"RBdwaynewashington","RB",TRUE,4.3105000095,4.0725000475,3.775000095,4.37,2,"16502-34729","Dwayne Washington","FanDuel","Q","Ankle",3.775000095,5200,"DET","PHI","dwaynewashington",0.0181873886389876,0,4.38889674840114
"RBeddielacy","RB",TRUE,11.6999999746,10.099999873,8.099999746,12.1,2,"16502-30968","Eddie Lacy","FanDuel","","",8.099999746,7100,"GB","NYG","eddielacy",0.0181873886389876,-0.0126728714737534,11.7645198252932
"RBezekielelliott","RB",TRUE,15.213999962,15.62999981,15.11,16.14999962,2,"16502-38791","Ezekiel Elliott","FanDuel","","",16.14999962,7900,"DAL","CIN","ezekielelliott",0.0181873886389876,0.00106130916819969,15.5068496497071
"RBfrankgore","RB",TRUE,13.101000038,13.54500019,12.99,14.10000038,2,"16502-6840","Frank Gore","FanDuel","","",14.10000038,6500,"IND","CHI","frankgore",0.0181873886389876,0.143986116747961,15.225635138237
"RBgiovanibernard","RB",FALSE,9.3979999809,9.3099999045,9.199999809,9.42,2,"16502-25290","Giovani Bernard","FanDuel","","",9.199999809,5500,"CIN","DAL","giovanibernard",0,0.161821191698738,10.918795537394
"RBisaiahcrowell","RB",TRUE,11.974499924,13.95249962,11.48,16.42499924,2,"16502-54684","Isaiah Crowell","FanDuel","","",16.42499924,6800,"CLE","NE","isaiahcrowell",0.0181873886389876,0.00408573200791573,12.2412094054936
"RBisaiahpead","RB",TRUE,2.1449999976,1.924999988,1.649999976,2.2,2,"16502-21984","Isaiah Pead","FanDuel","","",1.649999976,4500,"MIA","TEN","isaiahpead",0.0181873886389876,-0.0607407641136594,2.05372300730896
"RBjalenrichard","RB",TRUE,6.699999809,6.699999809,6.699999809,6.699999809,1,"16502-33578","Jalen Richard","FanDuel","","",6.699999809,4900,"OAK","SD","jalenrichard",0.0181873886389876,0.0498349228150194,7.15574928274959
"RBjamesstarks","RB",TRUE,3.7203333333,2.8816666665,1.833333333,3.93,2,"16502-11609","James Starks","FanDuel","","",1.833333333,4700,"GB","NYG","jamesstarks",0.0181873886389876,0.186161623940897,4.48057977642789
"RBjameswhite","RB",FALSE,7.9689999905,6.8049999525,5.349999905,8.26,2,"16502-28930","James White","FanDuel","","",5.349999905,5500,"NE","CLE","jameswhite",0,-0.314221696211705,5.46496729637403
"RBjamizeolawale","RB",TRUE,2.5545000095,2.6525000475,2.53,2.775000095,2,"16502-23046","Jamize Olawale","FanDuel","","",2.775000095,4500,"OAK","SD","jamizeolawale",0.0181873886389876,-0.186279249787701,2.12510934859874
"RBjavoriusallen","RB",TRUE,3.3409999952,3.544999976,3.29,3.799999952,2,"16502-29645","Javorius Allen","FanDuel","","",3.799999952,5600,"BAL","WAS","javoriusallen",0.0181873886389876,0.00837602302455953,3.42974835344041
"RBjayajayi","RB",TRUE,7.2809999873,6.8449999365,6.299999873,7.39,2,"16502-46882","Jay Ajayi","FanDuel","","",6.299999873,5600,"MIA","TEN","jayajayi",0.0181873886389876,0.0109883113674376,7.49342825867625
"RBjeremyhill","RB",FALSE,11.365499981,11.347499905,11.32499981,11.37,2,"16502-31397","Jeremy Hill","FanDuel","Q","Chest",11.32499981,7300,"CIN","DAL","jeremyhill",0,0.142500210742707,12.9850861234887
"RBjerickmckinnon","RB",TRUE,11.9680000191,9.5600000955,6.550000191,12.57,2,"16502-54608","Jerick McKinnon","FanDuel","","",6.550000191,6200,"MIN","HOU","jerickmckinnon",0.0181873886389876,-0.0365398377055226,11.7483579083212
"RBjoiquebell","RB",FALSE,1.8780000024,1.310000012,0.600000024,2.02,2,"16502-11712","Joique Bell","FanDuel","","",0.600000024,5600,"CHI","IND","joiquebell",0,0.0725844564916249,2.01431361186547
"RBjordanhoward","RB",FALSE,14.032,12.24,10,14.48,2,"16502-42142","Jordan Howard","FanDuel","","",10,7200,"CHI","IND","jordanhoward",0,0.00602408589299075,14.1165299732504
"RBjoshferguson","RB",TRUE,4.7655000191,4.9475000955,4.72,5.175000191,2,"16502-27692","Josh Ferguson","FanDuel","","",5.175000191,4500,"IND","CHI","joshferguson",0.0181873886389876,0.148522646931952,5.55995669679748
"RBkenjonbarner","RB",FALSE,2.5386666794,3.573333397,2.28,4.866666794,2,"16502-29357","Kenjon Barner","FanDuel","","",4.866666794,5300,"PHI","DET","kenjonbarner",0,-0.0300304548916536,2.46242936419933
"RBkennethfarrow","RB",FALSE,1.0119999952,1.139999976,0.98,1.299999952,2,"16502-31874","Kenneth Farrow","FanDuel","","",1.299999952,4500,"SD","OAK","kennethfarrow",0,0.229829794016658,1.24458774564167
"RBkenyandrake","RB",TRUE,4.9556666794,5.138333397,4.91,5.366666794,2,"16502-30989","Kenyan Drake","FanDuel","","",5.366666794,5100,"MIA","TEN","kenyandrake",0.0181873886389876,0.0737337313214119,5.41119711072088
"RBkylejuszczyk","RB",TRUE,2.1744999905,2.7524999525,2.03,3.474999905,2,"16502-39428","Kyle Juszczyk","FanDuel","","",3.474999905,4500,"BAL","WAS","kylejuszczyk",0.0181873886389876,-0.214001895965457,1.74870134617883
"RBlamarmiller","RB",FALSE,13.601000038,13.04500019,12.35000038,13.74,2,"16502-22037","Lamar Miller","FanDuel","","",12.35000038,7800,"HOU","MIN","lamarmiller",0,0.115886443197968,15.1771715563393
"RBlataviusmurray","RB",TRUE,1.1625,5.8125,0,11.625,2,"16502-34331","Latavius Murray","FanDuel","Q","Toe",11.625,6100,"OAK","SD","lataviusmurray",0.0181873886389876,-0.184264638449576,0.969435197095191
"RBleveonbell","RB",TRUE,18.400999924,19.24499962,18.19,20.29999924,2,"16502-28181","Le'Veon Bell","FanDuel","","",20.29999924,8600,"PIT","NYJ","leveonbell",0.0181873886389876,0.196634693013276,22.3539410321568
"RBmalcolmjohnson","RB",TRUE,1.0553333333,0.9566666665,0.833333333,1.08,2,"16502-31703","Malcolm Johnson","FanDuel","","",0.833333333,4500,"CLE","NE","malcolmjohnson",0.0181873886389876,0.156729829696825,1.2399293043779
"RBmattasiata","RB",TRUE,6.2915,5.2175,3.875,6.56,2,"16502-14757","Matt Asiata","FanDuel","","",3.875,5800,"MIN","HOU","mattasiata",0.0181873886389876,-0.0960608095533753,5.80155937231713
"RBmattforte","RB",FALSE,12.269999962,13.54999981,11.95,15.14999962,2,"16502-6899","Matt Forte","FanDuel","","",15.14999962,7100,"NYJ","PIT","mattforte",0,-0.238370294236938,9.34519646077085
"RBmattjones","RB",FALSE,10.5495,11.0275,10.43,11.625,2,"16502-30244","Matt Jones","FanDuel","","",11.625,6900,"WAS","BAL","mattjones",0,-0.205647455955044,8.38002216340227
"RBmelvingordon","RB",FALSE,15.680500038,16.92250019,15.37,18.47500038,2,"16502-28900","Melvin Gordon","FanDuel","","",18.47500038,7700,"SD","OAK","melvingordon",0,0.0362155325265303,16.2483776971584
"RBmichaelburton","RB",TRUE,2.9627500048,2.373750024,1.637500048,3.11,2,"16502-26057","Michael Burton","FanDuel","","",1.637500048,4500,"DET","PHI","michaelburton",0.0181873886389876,0.16356995599766,3.50125157849466
