"Key","mean.old","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"Kjustintucker",8.53,8.53,8.53,1,"16502-23045","Justin Tucker","K","FanDuel","","",12.25,5000,"BAL","WAS",TRUE,"justintucker",0.0594321246540319,9.03695602329889
"Kmasoncrosby",8.41,8.41,8.41,1,"16502-6897","Mason Crosby","K","FanDuel","","",7.333333333,4500,"GB","NYG",TRUE,"masoncrosby",0.080150484090282,9.08406557119927
"Kmattbryant",6.92,6.92,6.92,1,"16502-10647","Matt Bryant","K","FanDuel","","",10.5,4800,"ATL","DEN",FALSE,"mattbryant",-0.0228176089681318,6.76210214594053
"Kmattprater",6.98,6.98,6.98,1,"16502-6782","Matt Prater","K","FanDuel","","",9,4600,"DET","PHI",TRUE,"mattprater",-0.0228176089681318,6.82073308940244
"Kmikenugent",7.33,7.33,7.33,1,"16502-6636","Mike Nugent","K","FanDuel","","",11.5,4600,"CIN","DAL",FALSE,"mikenugent",-0.0228176089681318,7.16274692626359
"Knickfolk",6.54,6.54,6.54,1,"16502-6642","Nick Folk","K","FanDuel","","",8,4500,"NYJ","PIT",FALSE,"nickfolk",-0.018740465750513,6.41743735399164
"Knicknovak",6.83,6.83,6.83,1,"16502-12090","Nick Novak","K","FanDuel","","",12.33333333,4600,"HOU","MIN",FALSE,"nicknovak",-0.0228176089681318,6.67415573074766
"Kryansuccop",6.3,6.3,6.3,1,"16502-6767","Ryan Succop","K","FanDuel","","",5.5,4500,"TEN","MIA",FALSE,"ryansuccop",-0.0228176089681318,6.15624906350077
"Ksebastianjanikowski",7.08,7.08,7.08,1,"16502-7831","Sebastian Janikowski","K","FanDuel","","",5.75,4800,"OAK","SD",TRUE,"sebastianjanikowski",-0.0228176089681318,6.91845132850563
"Kstephengostkowski",8.9,8.9,8.9,1,"16502-7900","Stephen Gostkowski","K","FanDuel","","",7.5,5100,"NE","CLE",FALSE,"stephengostkowski",0.0949691350063631,9.74522530155663
"QBaaronrodgers",22.4,22.4,22.4,1,"16502-6894","Aaron Rodgers","QB","FanDuel","","",22.79333242,9100,"GB","NYG",TRUE,"aaronrodgers",0.172733152675849,26.269222619939
"QBandydalton",18.05,18.05,18.05,1,"16502-14225","Andy Dalton","QB","FanDuel","","",15.89000034,7800,"CIN","DAL",FALSE,"andydalton",0.0153139185803943,18.3264162303761
"QBbenroethlisberger",21.32,21.32,21.32,1,"16502-6589","Ben Roethlisberger","QB","FanDuel","","",21.61000061,8600,"PIT","NYJ",TRUE,"benroethlisberger",-0.23808548105254,16.2440175439599
"QBbrianhoyer",17.38,17.38,17.38,1,"16502-7872","Brian Hoyer","QB","FanDuel","","",13.92666626,6000,"CHI","IND",FALSE,"brianhoyer",0.0136923297304541,17.6179726907153
"QBbrockosweiler",13.42,13.42,13.42,1,"16502-21994","Brock Osweiler","QB","FanDuel","","",13.93999958,7200,"HOU","MIN",FALSE,"brockosweiler",-0.103560513864567,12.0302179039375
"QBcarsonwentz",18.59,18.59,18.59,1,"16502-70324","Carson Wentz","QB","FanDuel","","",17.6200002,7500,"PHI","DET",FALSE,"carsonwentz",-0.0103958111974539,18.3967418698393
"QBcasekeenum",6.26,6.26,6.26,1,"16502-22994","Case Keenum","QB","FanDuel","","",11.75,6600,"LA","BUF",TRUE,"casekeenum",0.183342594833482,7.40772464365759
"QBcodykessler",1.88,1.88,1.88,1,"16502-29587","Cody Kessler","QB","FanDuel","","",10.89000034,6400,"CLE","NE",TRUE,"codykessler",-0.0136923297304543,1.85425842010675
"QBdakprescott",16.86,16.86,16.86,1,"16502-31716","Dak Prescott","QB","FanDuel","","",17.54500008,7300,"DAL","CIN",TRUE,"dakprescott",-0.0790358845901262,15.5274549858105
"QBderekcarr",19.58,19.58,19.58,1,"16502-45859","Derek Carr","QB","FanDuel","","",20.98500061,8100,"OAK","SD",TRUE,"derekcarr",-0.244808050004014,14.7866583809214
"QBelimanning",18.19,18.19,18.19,1,"16502-6826","Eli Manning","QB","FanDuel","","",14.26000023,7700,"NYG","GB",FALSE,"elimanning",0.0534777550726435,19.1627603647714
"QBjoeflacco",17.73,17.73,17.73,1,"16502-6714","Joe Flacco","QB","FanDuel","","",16.49500084,7600,"BAL","WAS",TRUE,"joeflacco",0.13405833892507,20.1068543491415
"QBkirkcousins",17.64,17.64,17.64,1,"16502-22038","Kirk Cousins","QB","FanDuel","","",17.29500008,7500,"WAS","BAL",FALSE,"kirkcousins",-0.0621176234668417,16.5442451220449
"QBmarcusmariota",15.57,15.57,15.57,1,"16502-29358","Marcus Mariota","QB","FanDuel","","",12.80000019,7000,"TEN","MIA",FALSE,"marcusmariota",0.105126773672059,17.206823866074
"QBmatthewstafford",17.82,17.82,17.82,1,"16502-6654","Matthew Stafford","QB","FanDuel","","",20.07999992,8200,"DET","PHI",TRUE,"matthewstafford",0.149780466824631,20.4890879188149
"QBmattryan",17.38,17.38,17.38,1,"16502-6616","Matt Ryan","QB","FanDuel","","",27.40500069,7700,"ATL","DEN",FALSE,"mattryan",-0.249100856966425,13.0506271059235
"QBpaxtonlynch",15.37,15.37,15.37,1,"16502-33463","Paxton Lynch","QB","FanDuel","","",10.39999962,6800,"DEN","ATL",TRUE,"paxtonlynch",-0.054284390174994,14.5356489230103
"QBphiliprivers",20.28,20.28,20.28,1,"16502-7968","Philip Rivers","QB","FanDuel","","",17.375,8300,"SD","OAK",FALSE,"philiprivers",0.0827568623890504,21.9583091692499
"QBryanfitzpatrick",16.6,16.6,16.6,1,"16502-7659","Ryan Fitzpatrick","QB","FanDuel","","",13.19499969,6900,"NYJ","PIT",FALSE,"ryanfitzpatrick",0.120005572276515,18.5920924997901
"QBryantannehill",16.17,16.17,16.17,1,"16502-21948","Ryan Tannehill","QB","FanDuel","","",17.40999985,7100,"MIA","TEN",TRUE,"ryantannehill",0.0772098353817419,17.4184830381228
"QBsambradford",14.89,14.89,14.89,1,"16502-11414","Sam Bradford","QB","FanDuel","","",14.95333354,7400,"MIN","HOU",TRUE,"sambradford",-0.15414064019677,12.5948458674701
"QBtombrady",21.49,21.49,21.49,1,"16502-6498","Tom Brady","QB","FanDuel","","",21.95000076,8700,"NE","CLE",FALSE,"tombrady",-0.0604143308433893,20.1916960301756
"QBtyrodtaylor",15.72,15.72,15.72,1,"16502-14377","Tyrod Taylor","QB","FanDuel","","",16.22999954,7600,"BUF","LA",FALSE,"tyrodtaylor",0.162138311725684,18.2688142603277
"RBalfredblue",1.94,1.94,1.94,1,"16502-31406","Alfred Blue","RB","FanDuel","","",1.375,4600,"HOU","MIN",FALSE,"alfredblue",0.127460578268353,2.1872735218406
"RBalfredmorris",4.35,4.35,4.35,1,"16502-22113","Alfred Morris","RB","FanDuel","","",5.550000191,5100,"DAL","CIN",TRUE,"alfredmorris",0.115735163553602,4.85344796145817
"RBandyjanovich",1.34,1.34,1.34,1,"16502-27273","Andy Janovich","RB","FanDuel","","",4.133333206,4500,"DEN","ATL",TRUE,"andyjanovich",-0.107303013889657,1.19621396138786
"RBbennycunningham",1.88,1.88,1.88,1,"16502-39649","Benny Cunningham","RB","FanDuel","Q","Thigh",1.774999976,4600,"LA","BUF",TRUE,"bennycunningham",0.301424355787818,2.4466777888811
"RBbilalpowell",7.65,7.65,7.65,1,"16502-14320","Bilal Powell","RB","FanDuel","","",6.425000191,5100,"NYJ","PIT",FALSE,"bilalpowell",-0.138253950751393,6.59235727675184
"RBbobbyrainey",4.91,4.91,4.91,1,"16502-22958","Bobby Rainey","RB","FanDuel","","",6.449999809,4900,"NYG","GB",FALSE,"bobbyrainey",-0.216481357874908,3.8470765328342
"RBchristhompson",5.8,5.8,5.8,1,"16502-24891","Chris Thompson","RB","FanDuel","","",7.824999809,5400,"WAS","BAL",FALSE,"christhompson",-0.128737045312848,5.05332513718548
"RBcjanderson",15.82,15.82,15.82,1,"16502-29249","C.J. Anderson","RB","FanDuel","","",15.25,8000,"DEN","ATL",TRUE,"cjanderson",-0.236787243719215,12.074025804362
"RBdamienwilliams",3.44,3.44,3.44,1,"16502-27441","Damien Williams","RB","FanDuel","","",5.433333079,4900,"MIA","TEN",TRUE,"damienwilliams",0.00561053355045504,3.45930023541357
"RBdarrensproles",8.5,8.5,8.5,1,"16502-7972","Darren Sproles","RB","FanDuel","","",10.69999949,5400,"PHI","DET",FALSE,"darrensproles",0.0839016472040612,9.21316400123452
"RBdeandrewashington",10.31,10.31,10.31,1,"16502-32613","DeAndre Washington","RB","FanDuel","","",4.849999905,4700,"OAK","SD",TRUE,"deandrewashington",-0.225945656831926,7.98050027806285
"RBdeangelowilliams",4.97,4.97,4.97,1,"16502-6732","DeAngelo Williams","RB","FanDuel","","",16.77499962,5700,"PIT","NYJ",TRUE,"deangelowilliams",0.361153626867221,6.76493352553009
"RBdemarcomurray",16.55,16.55,16.55,1,"16502-14254","DeMarco Murray","RB","FanDuel","","",21.77499962,8400,"TEN","MIA",FALSE,"demarcomurray",-0.0902282236996498,15.0567228977708
"RBderrickhenry",5.08,5.08,5.08,1,"16502-39280","Derrick Henry","RB","FanDuel","","",4.050000191,5200,"TEN","MIA",FALSE,"derrickhenry",-0.214509698800335,3.9902907300943
"RBdevontaebooker",4.37,4.37,4.37,1,"16502-39580","Devontae Booker","RB","FanDuel","","",2.599999905,5100,"DEN","ATL",TRUE,"devontaebooker",0.157260457378805,5.05722819874538
"RBdevontafreeman",13.48,13.48,13.48,1,"16502-24920","Devonta Freeman","RB","FanDuel","","",14.47500038,7400,"ATL","DEN",FALSE,"devontafreeman",0.149295774628726,15.4925070419952
"RBdextermccluster",3.39,3.39,3.39,1,"16502-11454","Dexter McCluster","RB","FanDuel","","",2,4500,"SD","OAK",FALSE,"dextermccluster",0.140489761695506,3.86626029214777
"RBeddielacy",12.57,12.57,12.57,1,"16502-30968","Eddie Lacy","RB","FanDuel","","",8.099999746,7100,"GB","NYG",TRUE,"eddielacy",-0.0760952189900356,11.6134830972953
"RBezekielelliott",15.11,15.11,15.11,1,"16502-38791","Ezekiel Elliott","RB","FanDuel","","",16.14999962,7900,"DAL","CIN",TRUE,"ezekielelliott",-0.00351927294672427,15.056823785775
"RBfrankgore",13,13,13,1,"16502-6840","Frank Gore","RB","FanDuel","","",14.10000038,6500,"IND","CHI",TRUE,"frankgore",0.119965706562784,14.5595541853162
"RBgiovanibernard",9.43,9.43,9.43,1,"16502-25290","Giovani Bernard","RB","FanDuel","","",9.199999809,5500,"CIN","DAL",FALSE,"giovanibernard",0.157952330868657,10.9194904800914
"RBisaiahcrowell",11.48,11.48,11.48,1,"16502-54684","Isaiah Crowell","RB","FanDuel","","",16.42499924,6800,"CLE","NE",TRUE,"isaiahcrowell",0.00197513055021248,11.5026744987164
"RBisaiahpead",2.28,2.28,2.28,1,"16502-21984","Isaiah Pead","RB","FanDuel","","",1.649999976,4500,"MIA","TEN",TRUE,"isaiahpead",0.0171545784277483,2.31911243881527
"RBjamesstarks",4.08,4.08,4.08,1,"16502-11609","James Starks","RB","FanDuel","","",1.833333333,4700,"GB","NYG",TRUE,"jamesstarks",0.0346077196394463,4.22119949612894
"RBjameswhite",8.09,8.09,8.09,1,"16502-28930","James White","RB","FanDuel","","",5.349999905,5500,"NE","CLE",FALSE,"jameswhite",-0.331880101366285,5.40508997994675
"RBjamizeolawale",2.03,2.03,2.03,1,"16502-23046","Jamize Olawale","RB","FanDuel","","",2.775000095,4500,"OAK","SD",TRUE,"jamizeolawale",-0.19036613402217,1.643556747935
"RBjavoriusallen",3.29,3.29,3.29,1,"16502-29645","Javorius Allen","RB","FanDuel","","",3.799999952,5600,"BAL","WAS",TRUE,"javoriusallen",-0.0410218002731819,3.15503827710123
"RBjayajayi",7.39,7.39,7.39,1,"16502-46882","Jay Ajayi","RB","FanDuel","","",6.299999873,5600,"MIA","TEN",TRUE,"jayajayi",0.04679774505215,7.73583533593539
"RBjeremyhill",10.96,10.96,10.96,1,"16502-31397","Jeremy Hill","RB","FanDuel","Q","Chest",11.32499981,7300,"CIN","DAL",FALSE,"jeremyhill",0.10655875859972,12.1278839942529
"RBjerickmckinnon",12.1,12.1,12.1,1,"16502-54608","Jerick McKinnon","RB","FanDuel","","",6.550000191,6200,"MIN","HOU",TRUE,"jerickmckinnon",-0.0630784880895019,11.336750294117
"RBjoiquebell",1.95,1.95,1.95,1,"16502-11712","Joique Bell","RB","FanDuel","","",0.600000024,5600,"CHI","IND",FALSE,"joiquebell",-0.00632663109885767,1.93766306935723
"RBjordanhoward",14.48,14.48,14.48,1,"16502-42142","Jordan Howard","RB","FanDuel","","",10,7200,"CHI","IND",FALSE,"jordanhoward",0.0719528081604719,15.5218766621636
"RBjoshferguson",4.47,4.47,4.47,1,"16502-27692","Josh Ferguson","RB","FanDuel","","",5.175000191,4500,"IND","CHI",TRUE,"joshferguson",0.201331187837665,5.36995040963436
"RBkenjonbarner",2.37,2.37,2.37,1,"16502-29357","Kenjon Barner","RB","FanDuel","","",4.866666794,5300,"PHI","DET",FALSE,"kenjonbarner",-0.138931165010789,2.04073313892443
"RBkenyandrake",4.72,4.72,4.72,1,"16502-30989","Kenyan Drake","RB","FanDuel","","",5.366666794,5100,"MIA","TEN",TRUE,"kenyandrake",-0.0264791530596278,4.59501839755856
"RBkylejuszczyk",2.02,2.02,2.02,1,"16502-39428","Kyle Juszczyk","RB","FanDuel","","",3.474999905,4500,"BAL","WAS",TRUE,"kylejuszczyk",-0.20356774013939,1.60879316491843
"RBlamarmiller",13.74,13.74,13.74,1,"16502-22037","Lamar Miller","RB","FanDuel","","",12.35000038,7800,"HOU","MIN",FALSE,"lamarmiller",0.115884393180679,15.3322515623025
"RBleveonbell",18.19,18.19,18.19,1,"16502-28181","Le'Veon Bell","RB","FanDuel","","",20.29999924,8600,"PIT","NYJ",TRUE,"leveonbell",0.197587121963428,21.7841097485147
"RBmalcolmjohnson",1.08,1.08,1.08,1,"16502-31703","Malcolm Johnson","RB","FanDuel","","",0.833333333,4500,"CLE","NE",TRUE,"malcolmjohnson",0.128601563269571,1.21888968833114
"RBmattasiata",6.56,6.56,6.56,1,"16502-14757","Matt Asiata","RB","FanDuel","","",3.875,5800,"MIN","HOU",TRUE,"mattasiata",-0.0985313164360897,5.91363456417925
"RBmattforte",11.95,11.95,11.95,1,"16502-6899","Matt Forte","RB","FanDuel","","",15.14999962,7100,"NYJ","PIT",FALSE,"mattforte",-0.239269470018215,9.09072983328233
"RBmattjones",10.58,10.58,10.58,1,"16502-30244","Matt Jones","RB","FanDuel","","",11.625,6900,"WAS","BAL",FALSE,"mattjones",-0.151412651312224,8.97805414911667
"RBmelvingordon",15.37,15.37,15.37,1,"16502-28900","Melvin Gordon","RB","FanDuel","","",18.47500038,7700,"SD","OAK",FALSE,"melvingordon",-0.00617945530349961,15.2750217719852
"RBmichaelburton",3.12,3.12,3.12,1,"16502-26057","Michael Burton","RB","FanDuel","","",1.637500048,4500,"DET","PHI",TRUE,"michaelburton",0.192081836912253,3.71929533116623
"RBmikegillislee",2.65,2.65,2.65,1,"16502-30237","Mike Gillislee","RB","FanDuel","","",3.799999952,4800,"BUF","LA",FALSE,"mikegillislee",-0.0399995841858488,2.5440011019075
"RBorleansdarkwa",6.02,6.02,6.02,1,"16502-33691","Orleans Darkwa","RB","FanDuel","","",8.066666921,6000,"NYG","GB",FALSE,"orleansdarkwa",-0.267606505486322,4.40900883697234
"RBpaulperkins",3.56,3.56,3.56,1,"16502-29866","Paul Perkins","RB","FanDuel","","",9,4500,"NYG","GB",FALSE,"paulperkins",-0.1627951215286,2.98044936735818
"RBrobertturbin",3.13,3.13,3.13,1,"16502-22048","Robert Turbin","RB","FanDuel","","",4.574999809,4900,"IND","CHI",TRUE,"robertturbin",0.13226876612646,3.54400123797582
"RBryanmathews",8.51,8.51,8.51,1,"16502-11425","Ryan Mathews","RB","FanDuel","","",9.733333588,6300,"PHI","DET",FALSE,"ryanmathews",0.0038754529717635,8.54298010478971
"RBterrancewest",11.53,11.53,11.53,1,"16502-54607","Terrance West","RB","FanDuel","","",8.524999619,6400,"BAL","WAS",TRUE,"terrancewest",-0.0782354094061483,10.6279457295471
"RBtevincoleman",7.98,7.98,7.98,1,"16502-27776","Tevin Coleman","RB","FanDuel","","",15.375,5900,"ATL","DEN",FALSE,"tevincoleman",0.215711508732515,9.70137783968547
