"","Name","Position","mean","min","max","freq","range"
"258","Ka'Deem Carey","RB",4.05833330166667,3.88125,4.412499905,3,0.531249905
"259","Kai Forbath","K",6.454545455,6.454545455,6.454545455,1,0
"260","Kamar Aiken","WR",6.5087499238,5.175,9.993749619,5,4.818749619
"261","Kansas City","D",9.3,9.3,9.3,1,0
"262","Kansas City Chiefs","D",11.125,11.125,11.125,1,0
"263","Keenan Allen","WR",10.18,6.8,16,5,9.2
"264","Kellen Clemens","QB",3.210000038,3.210000038,3.210000038,1,0
"265","Kellen Moore","QB",13.02000046,13.02000046,13.02000046,1,0
"266","Kelvin Benjamin","WR",8.6625,7.6,10.2,4,2.6
"267","Kenbrell Thompkins","WR",5.9833333335,4.166666667,7.8,2,3.633333333
"268","Kendall Gaskins","RB",3.674999952,3.674999952,3.674999952,1,0
"269","Kendall Wright","WR",4.74,3.8,7.85,5,4.05
"270","Kenny Bell","WR",4,4,4,1,0
"271","Kenny Britt","WR",7.436249981,5.8875,11.4,5,5.5125
"272","Kenny Stills","WR",5.51770833325,5.033333333,5.7,4,0.666666667
"273","Kerwynn Williams","RB",3.46666654,3.46666654,3.46666654,1,0
"274","Keshawn Martin","WR",6.35,5.5,7.2,2,1.7
"275","Kevin White","WR",7.671875,6.2,10.6,4,4.4
"276","Khiry Robinson","RB",5.425,3.1,7.75,2,4.65
"277","Kirk Cousins","QB",17.53900003,16.68,19.02750015,5,2.34750015
"278","Knile Davis","RB",5.6,5.6,5.6,1,0
"279","Kyle Juszczyk","RB",4.806250095,4.806250095,4.806250095,1,0
"280","Kyle Rudolph","TE",4.6475,3.2,6.5,5,3.3
"281","Ladarius Green","TE",5.488461597,4.1,6.876923194,2,2.776923194
"282","Ladarius Green*","TE",3.325,3.325,3.325,2,0
"283","Lamar Miller","RB",12.059999924,7.4,14.1,5,6.7
"284","Lance Dunbar","RB",9.675000191,9.675000191,9.675000191,1,0
"285","Lance Kendricks","TE",4.1,3.5,4.7,2,1.2
"286","Landry Jones","QB",3.717142923,3.717142923,3.717142923,1,0
"287","Laquon Treadwell","WR",4.828125,4.2,6.2,4,2
"288","Larry Donnell","TE",4.23437497625,3.31875,6.099999905,4,2.781249905
"289","Larry Fitzgerald","WR",10.4325,8.4,14.125,5,5.725
"290","Latavius Murray","RB",10.978750038,8.3,15.1,5,6.8
"291","Le'Veon Bell","RB",13.71111094,12.3,16.53333282,3,4.23333282
"292","LeGarrette Blount","RB",8.820833308,7.31875,11.2,5,3.88125
"293","Leonard Hankerson","WR",9.100000109,9.100000109,9.100000109,1,0
"294","LeSean McCoy","RB",12.144166616,8.8,13.55833308,5,4.75833308
"295","Lorenzo Taliaferro","RB",5.366666794,5.366666794,5.366666794,1,0
"296","Los Angeles","D",7.6,7.6,7.6,1,0
"297","Los Angeles Rams","D",8.6875,8.6875,8.6875,1,0
