"","Name","Position","mean","min","max","freq","range"
"67","Buffalo","D",5.1,5.1,5.1,1,0
"68","Buffalo Bills","D",6.125,6.125,6.125,1,0
"69","C.J. Anderson","RB",11.71875,10.5875,14.7,4,4.1125
"70","C.J. Prosise","RB",3.98125,3.98125,3.98125,2,0
"71","C.J. Spiller","RB",4.46858970433333,4.2375,4.930769113,3,0.693269113
"72","Cairo Santos","K",8.413999939,7.56875,9.132499695,5,1.563749695
"73","Caleb Sturgis","K",8.953846154,7.4,12,3,4.6
"74","Cam Newton","QB",17.860625,13.18,20.98125,4,7.80125
"75","Cameron Brate","TE",4.85833327,4.85833327,4.85833327,1,0
"76","Carlos Hyde","RB",10.018214372,7.5,10.83125,5,3.33125
"77","Carolina","D",8.1,8.1,8.1,1,0
"78","Carson Palmer","QB",17.169999878,16.1,20.01499939,5,3.91499939
"79","Case Keenum","QB",7.8147499465,4.6375,13.06,4,8.4225
"80","Cecil Shorts","WR",3.1,3.1,3.1,1,0
"81","Cecil Shorts III","WR",6.6927273835,5.3,8.085454767,2,2.785454767
"82","Chandler Catanzaro","K",8.359375,7.85,8.9375,4,1.0875
"83","Charcandrick West","RB",8.248718027,6.7,9.446154081,3,2.746154081
"84","Charles Clay","TE",5.2440385084,3.2,7.407692542,5,4.207692542
"85","Charles Johnson","WR",4.00833333333333,3.6125,4.8,3,1.1875
"86","Charles Sims","RB",7.41375,5.8,9.65625,5,3.85625
"87","Chicago","D",4.6,4.6,4.6,1,0
"88","Chicago Bears","D",5.0625,5.0625,5.0625,1,0
"89","Chris Boswell","K",8.89375,8.2875,10.5,4,2.2125
"90","Chris Conley","WR",3.852430598,3.3,4.14375,4,0.84375
"91","Chris Givens","WR",3.792857034,3.792857034,3.792857034,1,0
"92","Chris Hogan","WR",5.12182687625,3.4,5.812307505,4,2.412307505
"93","Chris Ivory","RB",8.557666626,6.2,12.51333313,5,6.31333313
"94","Chris Johnson","RB",5.44943174875,3.6625,9.472726995,4,5.810226995
"95","Chris Matthews","WR",8.1,8.1,8.1,1,0
"96","Chris Thompson","RB",5.577884592,4.45625,7.6,5,3.14375
"97","Christine Michael","RB",4.531249988,3.424999952,5.3,4,1.875000048
"98","Cincinnati","D",6.4,6.4,6.4,1,0
"99","Cincinnati Bengals","D",8.75,8.75,8.75,1,0
"100","Clay Harbor","TE",3.737499952,3.737499952,3.737499952,1,0
"101","Cleveland","D",4.3,4.3,4.3,1,0
"102","Cleveland Browns","D",5.4375,5.4375,5.4375,1,0
"103","Clive Walford","TE",4.922291692,4.1,5.63125,4,1.53125
"104","Coby Fleener","TE",6.253833313,3.4,7.53125,5,4.13125
"105","Cody Parkey","K",6.726388889,5.666666667,7.25625,3,1.589583333
"106","Cole Beasley","WR",4.277499981,3.1,6.599999905,5,3.499999905
"107","Colin Kaepernick","QB",12.79999966,12.79999966,12.79999966,1,0
"108","Colt McCoy","QB",8.819999695,8.819999695,8.819999695,1,0
"109","Connor Barth","K",7.36458333325,6.6,8.583333333,4,1.983333333
"110","Cordarrelle Patterson","WR",3.1,3.1,3.1,1,0
"111","Corey Brown","WR",3.7,3.7,3.7,1,0
"112","Corey Coleman","WR",7.871875,6.39375,10.9,4,4.50625
"113","Craig Stevens","TE",3.010000038,3.010000038,3.010000038,1,0
"114","Crockett Gillmore","TE",4.894166565,3.25625,8.169999695,3,4.913749695
"115","Dak Prescott","QB",10.12125,6.3625,15.6,4,9.2375
"116","Dallas","D",4.9,4.9,4.9,1,0
"117","Dallas Cowboys","D",5.25,5.25,5.25,1,0
"118","Dan Bailey","K",8.0475,7.2,8.425,5,1.225
"119","Dan Carpenter","K",7.9625,6.7,11,5,4.3
"120","Dan Orlovsky","QB",5.519999981,5.519999981,5.519999981,1,0
"121","Danny Amendola","WR",5.79142848433333,3.5,8.274285453,3,4.774285453
"122","Danny Woodhead","RB",7.848750076,3.4,12.69375038,5,9.29375038
"123","Darius Jennings","WR",6.233333588,6.233333588,6.233333588,1,0
"124","Darren Fells","TE",6.6090908395,5.418181679,7.8,2,2.381818321
"125","Darren McFadden","RB",10.92708327,5.8,16,3,10.2
"126","Darren Sproles","RB",6.7025,4.1,8.4,5,4.3
"127","Darrius Heyward-Bey","WR",4.900000139,4.900000139,4.900000139,1,0
"128","Davante Adams","WR",4.90128212966667,4.225,6.253846389,3,2.028846389
"129","David Johnson","RB",13.345000038,12.36250019,14,5,1.63749981
"130","De'Anthony Thomas","WR",3.590000153,3.590000153,3.590000153,1,0
"131","DeAndre Hopkins","WR",13.240000076,11.6,17.22500038,5,5.62500038
"132","DeAndre Washington","RB",3.90625,3.90625,3.90625,2,0
"133","DeAngelo Williams","RB",11.734999924,5.58125,20.4,5,14.81875
"134","Delanie Walker","TE",8.311999918,5.7,13.15999959,5,7.45999959
"135","DeMarco Murray","RB",9.945333252,6.7,11.6,5,4.9
"136","Demaryius Thomas","WR",10.1625,9.175,12.6,4,3.425
"137","Denard Robinson","RB",8.7958333335,4.791666667,12.8,2,8.008333333
"138","Dennis Pitta","TE",3.3,3.3,3.3,1,0
"139","Denver","D",6.9,6.9,6.9,1,0
"140","Derek Carr","QB",17.752499984,15.8375,20.3,5,4.4625
"141","Derrick Henry","RB",7.52916666666667,7.2,7.69375,3,0.493749999999999
"142","DeSean Jackson","WR",9.2405556234,8.1,11.5,5,3.4
"143","Detroit","D",5.4,5.4,5.4,1,0
"144","Detroit Lions","D",6.0625,6.0625,6.0625,1,0
"145","DeVante Parker","WR",7.495000038,5.4,10.05000019,5,4.65000019
"146","Devin Funchess","WR",7.3375,5.7,11,4,5.3
"147","Devonta Freeman","RB",15.691999918,12.35,20.9,5,8.55
"148","Devontae Booker","RB",6.54375,6.54375,6.54375,2,0
"149","Dexter McCluster","RB",5.163636225,3.4,6.92727245,2,3.52727245
"150","Dez Bryant","WR",10.2480555216,8.177777608,11.1,5,2.922222392
"151","Dion Lewis","RB",14.59999956,14.59999956,14.59999956,1,0
"152","Dion Lewis*","RB",4.36875,4.36875,4.36875,2,0
"153","Donald Brown","RB",6.950000127,6.950000127,6.950000127,1,0
"154","Donte Moncrief","WR",7.6587500382,3.9,8.88125,5,4.98125
"155","Donteea Dye","WR",7.3,7.3,7.3,1,0
"156","Dontrelle Inman","WR",6.17083327,5.5,6.84166654,2,1.34166654
"157","Dorial Green-Beckham","WR",6.10535717,3.85,9.8,4,5.95
"158","Doug Baldwin","WR",10.763749924,8.875,14.36874962,5,5.49374962
"159","Doug Martin","RB",13.075000038,11.74375,15.3,5,3.55625
"160","Drew Brees","QB",18.63566683,17.2,21.01333415,5,3.81333415
"161","DuJuan Harris","RB",7.775000095,7.775000095,7.775000095,1,0
"162","Duke Johnson","RB",15,15,15,1,0
"163","Duke Johnson Jr.","RB",8.16250004775,7.24375,9.8,4,2.55625
"164","Dustin Hopkins","K",7.2116666666,6,8.333333333,5,2.333333333
"165","Dwayne Allen","TE",5.725,4.4,7.7,4,3.3
"166","Dwayne Harris","WR",6.320000203,6.320000203,6.320000203,1,0
"167","Eddie Lacy","RB",9.5063334148,7.1,11,5,3.9
