QB,RB,RB,WR,WR,WR,TE,K,D,,Instructions,,,,,,,,,,,,,a
,,,,,,,,,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,a
,,,,,,,,,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,a
,,,,,,,,,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,a
,,,,,,,,,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,a
,,,,,,,,,,,,,,,,,,,,,,,a
,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
,,,,,,,,,,16939-6714:Joe Flacco,16939-6714,QB,Joe,,Flacco,15.47333272,9,7100,BAL@DAL,BAL,DAL,,
,,,,,,,,,,16939-6883:Larry Fitzgerald,16939-6883,WR,Larry,,Fitzgerald,14.78888957,9,7000,ARI@MIN,ARI,MIN,,
,,,,,,,,,,16939-14231:Colin Kaepernick,16939-14231,QB,Colin,,Kaepernick,20.07999992,4,7000,NE@SF,SF,NE,,
,,,,,,,,,,16939-21948:Ryan Tannehill,16939-21948,QB,Ryan,,Tannehill,14.53111098,9,6900,MIA@LA,MIA,LA,,
,,,,,,,,,,16939-21980:Alshon Jeffery,16939-21980,WR,Alshon,,Jeffery,9.888888889,9,6900,CHI@NYG,CHI,NYG,O,Suspension
,,,,,,,,,,16939-30298:Jordan Reed,16939-30298,TE,Jordan,,Reed,12.22857121,7,6900,GB@WAS,WAS,GB,,
,,,,,,,,,,16939-31394:Jarvis Landry,16939-31394,WR,Jarvis,,Landry,11.23333316,9,6900,MIA@LA,MIA,LA,Q,Shoulder
,,,,,,,,,,16939-42142:Jordan Howard,16939-42142,RB,Jordan,,Howard,12.89999962,8,6800,CHI@NYG,CHI,NYG,,
,,,,,,,,,,16939-6535:Kenny Britt,16939-6535,WR,Kenny,,Britt,11.92222256,9,6800,MIA@LA,LA,MIA,,
,,,,,,,,,,16939-6607:Mike Wallace,16939-6607,WR,Mike,,Wallace,12.96666633,9,6800,BAL@DAL,BAL,DAL,,
,,,,,,,,,,16939-25079:Stefon Diggs,16939-25079,WR,Stefon,,Diggs,14.3125,8,6800,ARI@MIN,MIN,ARI,,
,,,,,,,,,,16939-6898:Jay Cutler,16939-6898,QB,Jay,,Cutler,9.595000267,4,6800,CHI@NYG,CHI,NYG,,
,,,,,,,,,,16939-14626:Doug Baldwin,16939-14626,WR,Doug,,Baldwin,13.05555556,9,6700,PHI@SEA,SEA,PHI,,
,,,,,,,,,,16939-33465:Theo Riddick,16939-33465,RB,Theo,,Riddick,14.92857143,7,6700,JAC@DET,DET,JAC,Q,Ankle
,,,,,,,,,,16939-30447:Todd Gurley,16939-30447,RB,Todd,,Gurley,11.18888855,9,6700,MIA@LA,LA,MIA,Q,Thigh
,,,,,,,,,,16939-8005:Alex Smith,16939-8005,QB,Alex,,Smith,13.75500011,8,6700,TB@KC,KC,TB,,
,,,,,,,,,,16939-11414:Sam Bradford,16939-11414,QB,Sam,,Bradford,14.96000004,8,6600,ARI@MIN,MIN,ARI,,
,,,,,,,,,,16939-11485:Golden Tate,16939-11485,WR,Golden,,Tate,10.02222188,9,6600,JAC@DET,DET,JAC,,
,,,,,,,,,,16939-32418:Christine Michael,16939-32418,RB,Christine,,Michael,11.83333333,9,6600,GB@WAS,GB,WAS,,
,,,,,,,,,,16939-11512:Jimmy Graham,16939-11512,TE,Jimmy,,Graham,10.70000034,9,6500,PHI@SEA,SEA,PHI,,
,,,,,,,,,,16939-21970:Doug Martin,16939-21970,RB,Doug,,Martin,8.5,3,6500,TB@KC,TB,KC,,
,,,,,,,,,,16939-6639:Tony Romo,16939-6639,QB,Tony,,Romo,11.91499996,4,6500,BAL@DAL,DAL,BAL,Q,Back
,,,,,,,,,,16939-22103:Marvin Jones Jr.,16939-22103,WR,Marvin,,Jones Jr.,12.10000017,9,6500,JAC@DET,DET,JAC,,
,,,,,,,,,,16939-6803:Josh McCown,16939-6803,QB,Josh,,McCown,12.46666718,3,6500,PIT@CLE,CLE,PIT,,
,,,,,,,,,,16939-28473:Carlos Hyde,16939-28473,RB,Carlos,,Hyde,13.34285736,7,6500,NE@SF,SF,NE,,
,,,,,,,,,,16939-31561:Donte Moncrief,16939-31561,WR,Donte,,Moncrief,10.44999981,4,6500,TEN@IND,IND,TEN,,
,,,,,,,,,,16939-29587:Cody Kessler,16939-29587,QB,Cody,,Kessler,10.60571398,7,6500,PIT@CLE,CLE,PIT,,
,,,,,,,,,,16939-14257:Randall Cobb,16939-14257,WR,Randall,,Cobb,10.88749981,8,6500,GB@WAS,GB,WAS,,
,,,,,,,,,,16939-14336:Jacquizz Rodgers,16939-14336,RB,Jacquizz,,Rodgers,9.266666412,6,6400,TB@KC,TB,KC,O,Foot
,,,,,,,,,,16939-7283:Jeremy Maclin,16939-7283,WR,Jeremy,,Maclin,8.0625,8,6400,TB@KC,KC,TB,O,Groin
,,,,,,,,,,16939-22994:Case Keenum,16939-22994,QB,Case,,Keenum,13.42888896,9,6400,MIA@LA,LA,MIA,,
,,,,,,,,,,16939-6863:Delanie Walker,16939-6863,TE,Delanie,,Walker,12.04444461,9,6400,TEN@IND,TEN,IND,,
,,,,,,,,,,16939-22288:Cole Beasley,16939-22288,WR,Cole,,Beasley,11.32222239,9,6400,BAL@DAL,DAL,BAL,,
,,,,,,,,,,16939-24755:Jamison Crowder,16939-24755,WR,Jamison,,Crowder,12.36666701,9,6300,GB@WAS,WAS,GB,,
,,,,,,,,,,16939-70324:Carson Wentz,16939-70324,QB,Carson,,Wentz,13.16000027,9,6300,PHI@SEA,PHI,SEA,,
,,,,,,,,,,16939-6840:Frank Gore,16939-6840,RB,Frank,,Gore,14.02222188,9,6300,TEN@IND,IND,TEN,,
